"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","Idlevel"
"BESLQU-Besleria quadrangulata",3824140,"Besleria quadrangulata","species"
"BESLST-Besleria stricta",3823566,"Besleria stricta","species"
"BOROCL-Borojoa claviflora",5340527,"Alibertia claviflora","species"
"BROSAC-Brosimum acutifolium",7262461,"Brosimum acutifolium","species"
"BROSGU-Brosimum guianense",7374879,"Brosimum guianense","species"
"BROSLA-Brosimum lactescens",3763127,"Brosimum lactescens","species"
"BROSPO-Brosimum potabile",3762892,"Brosimum potabile","species"
"BROSUT-Brosimum utile",8042591,"Brosimum utile","species"
"BROWGR-Brownea grandiceps",2970463,"Brownea grandiceps","species"
"BROWLO-Brownea jaramilloi",8875403,"Brownea jaramilloi","species"
"BROWRO-Brownea rosada",2970433,"Brownea","genus"
"BRUNCH-Brunfelsia chiricaspi",2932912,"Brunfelsia chiricaspi","species"
"BRUNSH-Brunfelsia grandiflora",2932917,"Brunfelsia grandiflora","species"
"BUCHCO-Buchenavia congesta",9578164,"Terminalia congesta","species"
"BUCHGR-Buchenavia grandis",9392612,"Terminalia grandis","species"
"BUCHMA-Buchenavia macrophylla",9578576,"Terminalia macrophylla","species"
"BUCHPA-Buchenavia parvifolia",9455981,"Terminalia parvifolia","species"
"BUCHPU-Buchenavia oxycarpa",3699032,"Terminalia oxycarpa","species"
"BUNCAR-Bunchosia argentea",3984105,"Bunchosia argentea","species"
"BUNCBL-Bunchosia blanquita",7404976,"Bunchosia","genus"
"BUNCMY-Bunchosia myrt",7404976,"Bunchosia","genus"
"BYRSJU-Byrsonima juanito",3191347,"Byrsonima","genus"
"BYRSPU-Byrsonima putumayensis",3984820,"Byrsonima putumayensis","species"
"CABRCA-Cabralea canjerana",7271502,"Cabralea canjerana","species"
"CALCME-Calycophyllum megistocaulum",2903996,"Calycophyllum megistocaulum","species"
"CALLCA-Calliandra carbonaria",2982050,"Calliandra trinervia","species"
"CALOBR-Calophyllum brasiliense",5421069,"Calophyllum brasiliense","species"
"CALPBI-Calyptranthes bipennis",10686259,"Myrcia tenuiflora","species"
"CALPGC-Calyptranthes grancauli",3181245,"Calyptranthes","genus"
"CALPGI-Calyptranthes maxima",10694317,"Myrcia maxima","species"
"CALPLO-Calyptranthes loraine",3181245,"Calyptranthes","genus"
"CALPNE-Calyptranthes nervata",10686603,"Myrcia nervata","species"
"CALPPC-Calyptranthes glandulosa",10681855,"Myrcia adenophylla","species"
"CALPPE-Calyptranthes pelopalida",3181245,"Calyptranthes","genus"
"CALPPL-Calyptranthes plicata",10785938,"Myrcia plicata","species"
"CALPPS-Calyptranthes manuensis",10802852,"Myrcia manuensis","species"
"CALPPT-Calyptranthes punteada",3181245,"Calyptranthes","genus"
"CALPRU-Calyptranthes ruiziana",10773731,"Myrcia ruiziana","species"
"CALPSE-Calyptranthes sedosa",3181245,"Calyptranthes","genus"
"CALPSP-Calyptranthes speciosa",10825908,"Myrcia neospeciosa","species"
"CAMPLI-Campomanesia lineatifolia",3181134,"Campomanesia lineatifolia","species"
"CAPIDE-Capirona decorticans",10910620,"Capirona macrophylla","species"
"CAPPDE-Preslianthus detonsus",7790974,"Preslianthus detonsus","species"
"CAPPOS-Capparidastrum osmanthum",7379306,"Capparidastrum osmanthum","species"
"CAPPSO-Capparidastrum solum",8405416,"Capparidastrum solum","species"
"CARACO-Caraipa comun",7330048,"Caraipa","genus"
"CARDOR-Caryodendron orinocense",3055897,"Caryodendron orinocense","species"
"CARIBR-Carica brillante",2874482,"Carica","genus"
"CARIMI-Carica microcarpa",7269680,"Vasconcellea microcarpa","species"
"CAROCH-Caryodaphnopsis chica",7304487,"Caryodaphnopsis","genus"
"CAROFO-Caryodaphnopsis fosteri",4180147,"Caryodaphnopsis fosteri","species"
"CAROTO-Caryodaphnopsis tomentosa",4180043,"Caryodaphnopsis tomentosa","species"
"CARPLO-Carpotroche longifolia",7274065,"Carpotroche longifolia","species"
"CARYGL-Caryocar glabrum",3826026,"Caryocar glabrum","species"
"CASEAC-Casearia aculeata",5331145,"Casearia aculeata","species"
"CASEAE-Casearia arborea",5331149,"Casearia arborea","species"
"CASEAR-Casearia argut",2874105,"Casearia","genus"
"CASEBR-Casearia bracteifera",7723868,"Casearia combaymensis","species"
"CASEJA-Casearia javitensis",3878690,"Piparea multiflora","species"
"CASENI-Casearia nigricans",7526781,"Casearia nigricans","species"
"CASEPF-Casearia prunifolia",7423546,"Casearia prunifolia","species"
"CASEPI-Casearia pitumba",7499281,"Casearia pitumba","species"
"CASEPR-Casearia prunicerob",2874105,"Casearia","genus"
"CASESP-Casearia sylvepub",2874105,"Casearia","genus"
"CASESY-Casearia sylvestris",5331148,"Casearia sylvestris","species"
"CASETU-Casearia tubiflora",2874105,"Casearia","genus"
"CASEUL-Casearia ulmifolia",8205521,"Casearia ulmifolia","species"
"CASSCO-Cassia cowanii",5357101,"Cassia cowanii","species"
"CASTUL-Castilla ulei",2984559,"Castilla ulei","species"
"CATHAC-Cathedra acuminata",8137356,"Cathedra acuminata","species"
"CECREN-Cecropia engleriana",4013581,"Cecropia engleriana","species"
"CECRFI-Cecropia ficifolia",8173870,"Cecropia ficifolia","species"
"CECRHE-Cecropia herthae",4013414,"Cecropia herthae","species"
"CECRMA-Cecropia marginalis",4013650,"Cecropia marginalis","species"
"CECRME-Cecropia membranacea",4013609,"Cecropia membranacea","species"
"CECRPU-Cecropia putumayonis",4013126,"Cecropia putumayonis","species"
"CECRSC-Cecropia sciadophylla",7316424,"Cecropia sciadophylla","species"
"CEDAOD-Cedrela odorata",3190511,"Cedrela odorata","species"
"CEDGCA-Cedrelinga cateniformis",2976174,"Cedrelinga cateniformis","species"
"CEIBPE-Ceiba pentandra",5406697,"Ceiba pentandra","species"
"CEIBSA-Ceiba samauma",7981929,"Ceiba samauma","species"
"CELTSC-Celtis schippii",4159734,"Celtis schippii","species"
"CENTLO-Centropogon loretensis",5412643,"Centropogon loretensis","species"
"CESTME-Cestrum megalophyllum",3802352,"Cestrum megalophyllum","species"
"CESTSI-Cestrum silvaticum",3802311,"Cestrum microcalyx","species"
"CESTTO-Cestrum tomentosum",7972104,"Cestrum tomentosum","species"
"CHAMPA-Chamaedorea pauciflora",2734687,"Chamaedorea pauciflora","species"
"CHAMPI-Chamaedorea pinnatifrons",2734435,"Chamaedorea pinnatifrons","species"
"CHEICO-Cheiloclinium cognatum",3790743,"Cheiloclinium cognatum","species"
"CHIMGL-Chimarrhis glabriflora",2918977,"Chimarrhis glabriflora","species"
"CHIMJA-Chimarrhis jacob",2918950,"Chimarrhis","genus"
"CHIOOP-Chionanthus implicatus",3682197,"Chionanthus implicatus","species"
"CHLO2S-Chlorocardium 2subopo",7304319,"Chlorocardium","genus"
"CHOMCO-Chomelia tenuiflora",5337295,"Chomelia tenuiflora","species"
"CHOMPO-Chomelia polyantha",5337333,"Chomelia polyantha","species"
"CHRCFR-Chrysochlamys fragil",3231115,"Chrysochlamys","genus"
"CHRCHU-Chrysochlamys hugo",3231115,"Chrysochlamys","genus"
"CHRCME-Chrysochlamys membranacea",5555729,"Chrysochlamys membranacea","species"
"CHRCTE-Chrysochlamys tenuifolia",5555698,"Chrysochlamys tenuifolia","species"
"CHRYAM-Chrysophyllum amazonicum",2885635,"Chrysophyllum amazonicum","species"
"CHRYAR-Chrysophyllum argenteum",2885742,"Chrysophyllum argenteum","species"
"CHRYCU-Chrysophyllum cuneifolium",2885711,"Chrysophyllum cuneifolium","species"
"CHRYMA-Chrysophyllum manaosense",2885648,"Chrysophyllum manaosense","species"
