Family,ScientificName,ScientificNameAuthorship,CommonName,Notes,TaxonId
HUMIRIACEAE,"Sacoglottis amazonica",Mart.,,"source: Nov. Gen. Sp. Pl. 1827",28087
HUMIRIACEAE,"Sacoglottis guianensis",Benth.,,,15877
EUPHORBIACEAE,"Sagotia brachysepala",Secco,,,15881
EUPHORBIACEAE,"Sagotia racemosa",Baill.,,,15882
CELASTRACEAE,"Salacia cordata",Mennega,,,15884
CELASTRACEAE,"Salacia impressifolia","A.C. Sm.",,,15885
CELASTRACEAE,"Salacia macrantha","A.C. Sm.",,,15887
GESNERIACEAE,"Sanango racemosum",Barringer,,,15945
EUPHORBIACEAE,"Sapium ciliatum",Hemsl.,,,15976
EUPHORBIACEAE,"Sapium glandulosum",Morong,,,15979
EUPHORBIACEAE,"Sapium ixiamasense",Jabl.,,"source: Phytologia 1967",15981
EUPHORBIACEAE,"Sapium laurifolium",Griseb.,,,15982
EUPHORBIACEAE,"Sapium marmieri",Huber,,,15984
EUPHORBIACEAE,"Sapium stylare","Müll. Arg.",,,15989
SAPOTACEAE,"Sarcaulus brasiliensis","(A. DC.) Eyma",,,15996
SAPOTACEAE,"Sarcaulus oblatus","T.D. Penn.",,,15997
SAPOTACEAE,"Sarcaulus vestitus","T.D. Penn.",,,15998
SAPOTACEAE,"Sarcaulus wurdackii",Aubrév.,,,15999
ACTINIDIACEAE,"Saurauia adenodonta",Sleumer,,,16019
ACTINIDIACEAE,"Saurauia herthae",Sleumer,,,16026
ACTINIDIACEAE,"Saurauia prainiana",Buscal.,,,16030
ARALIACEAE,"Schefflera diplodactyla",Harms,,,16111
ARALIACEAE,"Schefflera morototoni","Maguire, Steyerm. & Frodin",,,16122
FABACEAE,"Schizolobium parahyba","S.F. Blake",,,16161
THYMELAEACEAE,"Schoenobiblus daphnoides",Mart.,,,16180
THYMELAEACEAE,"Schoenobiblus peruvianus",Standl.,,,16183
FABACEAE,"Senegalia polyphylla",Britton,,,16390
FABACEAE,"Senna bacillaris","H.S. Irwin & Barneby",,,16400
FABACEAE,"Senna macrophylla","H.S. Irwin & Barneby",,,16409
FABACEAE,"Senna multijuga","H.S. Irwin & Barneby",,,16411
FABACEAE,"Senna ruiziana","H.S. Irwin & Barneby",,,16416
MALVACEAE,"Septotheca tessmannii",Ulbr.,,,16418
SIMAROUBACEAE,"Simaba guianensis",Aubl.,,,16568
SIMAROUBACEAE,"Simaba orinocensis",Kunth,,,16569
SIMAROUBACEAE,"Simaba paraensis",Ducke,,,16570
SIMAROUBACEAE,"Simaba polyphylla","W.W. Thomas",,,16571
SIMAROUBACEAE,"Simarouba amara",Aubl.,,,16573
RUBIACEAE,"Simira cordifolia",Steyerm.,,,16575
RUBIACEAE,"Simira erythroxylon",Bremek.,,"source: Acta Bot. Neerl. 1954",28514
RUBIACEAE,"Simira rubescens","Bremek. ex Steyerm.",,,16578
RUBIACEAE,"Simira wurdackii",Steyerm.,,,16580
SIPARUNACEAE,"Siparuna aspera","A. DC.",,,16590
SIPARUNACEAE,"Siparuna cervicornis",Perkins,,,16593
SIPARUNACEAE,"Siparuna cristata","A. DC.",,,16596
SIPARUNACEAE,"Siparuna cuspidata","A. DC.",,,16598
SIPARUNACEAE,"Siparuna decipiens","A. DC.",,,16599
SIPARUNACEAE,"Siparuna grandiflora",Perkins,,"source: Bot. Jahrb. Syst. 1901",28524
SIPARUNACEAE,"Siparuna guianensis",Aubl.,,"source: Hist. Pl. Guiane 1775",16608
SIPARUNACEAE,"Siparuna harlingii","S.S. Renner & Hausner",,,16609
SIPARUNACEAE,"Siparuna macrotepala",Perkins,,,16613
SIPARUNACEAE,"Siparuna reginae","A. DC.",,"source: Prodr. 1868",28531
SIPARUNACEAE,"Siparuna schimpffii",Diels,,,16623
ELAEOCARPACEAE,"Sloanea brachytepala",Ducke,,,16662
ELAEOCARPACEAE,"Sloanea durissima","Spruce ex Benth.",,,16665
ELAEOCARPACEAE,"Sloanea eichleri","K. Schum.",,,16666
ELAEOCARPACEAE,"Sloanea erismoides",Ducke,,"source: Arq. Inst. Biol. Veg. 1935",16667
ELAEOCARPACEAE,"Sloanea floribunda","Spruce ex Benth.",,,16668
ELAEOCARPACEAE,"Sloanea fragrans",Rusby,,,16669
ELAEOCARPACEAE,"Sloanea froesii","Earle Sm.",,,16670
ELAEOCARPACEAE,"Sloanea gracilis",Uittien,,,16672
ELAEOCARPACEAE,"Sloanea grandiflora",Sm.,,,16673
ELAEOCARPACEAE,"Sloanea guianensis",Benth.,,,16674
ELAEOCARPACEAE,"Sloanea laevigata","Dam. A. Sm.",,,16676
ELAEOCARPACEAE,"Sloanea lasiocoma","K. Schum.",,,16677
ELAEOCARPACEAE,"Sloanea laurifolia",Benth.,,,16678
ELAEOCARPACEAE,"Sloanea laxiflora","Spruce ex Benth.",,,16679
ELAEOCARPACEAE,"Sloanea macrophylla","Benth. ex Turcz.",,"source: Bull. Soc. Imp. Naturalistes Moscou 1858",16681
ELAEOCARPACEAE,"Sloanea maroana",Steyerm.,,,16682
ELAEOCARPACEAE,"Sloanea meianthera","Donn. Sm.",,,16684
ELAEOCARPACEAE,"Sloanea monosperma",Vell.,,,16685
ELAEOCARPACEAE,"Sloanea multiflora","H. Karst.",,,16686
ELAEOCARPACEAE,"Sloanea multinervis","J.E. Guevara, D. Fernández & W. Palacios",,"source: Phytotaxa 263(2): 149, f. 2â""3. 2016",16687
ELAEOCARPACEAE,"Sloanea obtusifolia","K. Schum.",,,16688
ELAEOCARPACEAE,"Sloanea parviflora","Planch. ex Benth.",,,16689
ELAEOCARPACEAE,"Sloanea pubescens",Benth.,,,16691
ELAEOCARPACEAE,"Sloanea robusta",Uittien,,,16692
ELAEOCARPACEAE,"Sloanea rufa","Planch. ex Benth.",,,16693
ELAEOCARPACEAE,"Sloanea spathulata","Earle Sm.",,,16695
ELAEOCARPACEAE,"Sloanea stipitata","Spruce ex Benth.",,,16696
ELAEOCARPACEAE,"Sloanea synandra","Spruce ex Benth.",,,16697
ELAEOCARPACEAE,"Sloanea terniflora",Standl.,,,16698
ELAEOCARPACEAE,"Sloanea tuerckheimii","Donn. Sm.",,,16701
ARECACEAE,"Socratea exorrhiza","H. Wendl.",,,16759
SOLANACEAE,"Solanum altissimum",Benítez,,,16778
SOLANACEAE,"Solanum anisophyllum","Van Heurck & Müll. Arg.",,,16783
SOLANACEAE,"Solanum appressum","K.E. Roe",,,16787
SOLANACEAE,"Solanum bellum","S. Knapp",,,16799
SOLANACEAE,"Solanum circinatum",Bohs,,,16811
SOLANACEAE,"Solanum endopogon",Bohs,,,16834
SOLANACEAE,"Solanum grandiflorum","Ruiz & Pav.",,,16844
SOLANACEAE,"Solanum hypermegethes",Werderm.,,,16852
SOLANACEAE,"Solanum malletii","S. Knapp",,,16881
SOLANACEAE,"Solanum nudum",Dunal,,,16897
SOLANACEAE,"Solanum occultum",Bohs,,,16901
SOLANACEAE,"Solanum oppositifolium","Ruiz & Pav.",,,16903
SOLANACEAE,"Solanum oxyphyllum","C.V. Morton",,,16905
SOLANACEAE,"Solanum riparium",Pers.,,,16925
SOLANACEAE,"Solanum robustifrons",Bitter,,,16927
SOLANACEAE,"Solanum rugosum",Dunal,,,16930
SOLANACEAE,"Solanum schlechtendalianum",Walp.,,,16933
SOLANACEAE,"Solanum sessile","Ruiz & Pav.",,,16935
SOLANACEAE,"Solanum sycophanta",Dunal,,,16948
MORACEAE,"Sorocea guilleminiana",Gaudich.,,,16993
MORACEAE,"Sorocea muriculata",Miq.,,,16997
MORACEAE,"Sorocea pubivena",Hemsl.,,,16999
MORACEAE,"Sorocea sarcocarpa","Lanj. & Wess. Boer",,,17002
MORACEAE,"Sorocea steinbachii","C.C. Berg",,,17004
CYATHEACEAE,"Sphaeropteris quindiuensis","R.M. Tryon",,,17061
RUBIACEAE,"Sphinctanthus maculatus","Spruce ex K. Schum.",,,17071
ANACARDIACEAE,"Spondias mombin",L.,,,17112
ANACARDIACEAE,"Spondias purpurea",L.,,,17113
DICHAPETALACEAE,"Stephanopodium angulatum",Prance,,,17379
DICHAPETALACEAE,"Stephanopodium peruvianum","Poepp. & Endl.",,,17382
MALVACEAE,"Sterculia apeibophylla",Ducke,,,17384
MALVACEAE,"Sterculia apetala","(Jacq.) H. Karst.",,,17385
MALVACEAE,"Sterculia colombiana",Sprague,,,17387
MALVACEAE,"Sterculia frondosa",Rich.,,,17389
MALVACEAE,"Sterculia guapayensis",Cuatrec.,,"source: Revista Acad. Colomb. Ci. Exact. 1952",29173
MALVACEAE,"Sterculia peruviana","E.L. Taylor ex Brako & Zarucchi",,,17390
MALVACEAE,"Sterculia pilosa",Ducke,,"source: Arch. Jard. Bot. Rio de Janeiro 1922",29174
MALVACEAE,"Sterculia pruriens","K. Schum.",,"source: Flora Brasiliensis 12(3): 8 1886",29175
MALVACEAE,"Sterculia rugosa","R. Br.",,,17391
MALVACEAE,"Sterculia tessmannii",Mildbr.,,,17392
RHIZOPHORACEAE,"Sterigmapetalum obovatum",Kuhlm.,,,17395
LOGANIACEAE,"Strychnos darienensis",Seem.,,,17490
LOGANIACEAE,"Strychnos erichsonii","R.H. Schomb. ex Progel",,,17492
LOGANIACEAE,"Strychnos jobertiana",Baill.,,,17495
LOGANIACEAE,"Strychnos panamensis",Seem.,,,17500
LOGANIACEAE,"Strychnos ramentifera",Ducke,,,17503
FABACEAE,"Stryphnodendron porcatum","D.A. Neill & Occhioni f.",,,17510
PRIMULACEAE,"Stylogyne ambigua",Mez,,,17518
PRIMULACEAE,"Stylogyne bracteolata",Pipoly,,,17520
PRIMULACEAE,"Stylogyne serpentina",Mez,,,17523
STYRACACEAE,"Styrax cordatus","A. DC.",,,17534
STYRACACEAE,"Styrax guyanensis","A. DC.",,,17537
STYRACACEAE,"Styrax macrophyllus","Schott ex Pohl",,,17540
STYRACACEAE,"Styrax tessmannii",Perkins,,,17542
FABACEAE,"Swartzia amplifolia",Harms,,,17554
FABACEAE,"Swartzia arborescens",Pittier,,,17556
FABACEAE,"Swartzia aureosericea","R.S. Cowan",,,17557
FABACEAE,"Swartzia benthamiana",Miq.,,"source: Stirp. Surinam. Select. 1850",29249
FABACEAE,"Swartzia bombycina","R.S. Cowan",,,17558
FABACEAE,"Swartzia calophylla",Poepp.,,,17559
FABACEAE,"Swartzia calva","R.S. Cowan",,,17560
FABACEAE,"Swartzia cardiosperma","Spruce ex Benth.",,"source: Fl. Bras. 1870",29250
FABACEAE,"Swartzia leptopetala",Benth.,,"source: J. Bot. (Hooker) 1840",17564
FABACEAE,"Swartzia macrosema",Harms,,,17566
FABACEAE,"Swartzia myrtifolia",Sm.,,"source: Cycl. 1816",17567
FABACEAE,"Swartzia polyphylla",DC.,,,17568
FABACEAE,"Swartzia racemosa",Benth.,,,17569
FABACEAE,"Swartzia reticulata",Ducke,,,17570
FABACEAE,"Swartzia simplex",Spreng.,,,17574
FABACEAE,"Swartzia trianae",Benth.,,,17576
FABACEAE,"Swartzia yasuniensis","Torke & Á.J. Pérez",,,17577
MELIACEAE,"Swietenia macrophylla",King,,,17579
ARECACEAE,"Syagrus sancona","H. Karst.",,,17581
ARECACEAE,"Syagrus smithii",Glassman,,"source: Fieldiana, Botany 32(15): 230. 1970",29255
POLYGONACEAE,"Symmeria paniculata",Benth.,,"source: Bot. Jahrb. Syst. 1890",29262
CLUSIACEAE,"Symphonia globulifera","L. f.",,,17589
SYMPLOCACEAE,"Symplocos arechea",L'Hér.,,,17598
BIGNONIACEAE,"Tabebuia chrysantha","(Jacq.) G. Nicholson",,,17661
BIGNONIACEAE,"Tabebuia serratifolia","G. Nicholson",,,17665
APOCYNACEAE,"Tabernaemontana amygdalifolia",Jacq.,,,17668
APOCYNACEAE,"Tabernaemontana cymosa",Jacq.,,,17670
APOCYNACEAE,"Tabernaemontana macrocalyx","Müll. Arg.",,,17675
APOCYNACEAE,"Tabernaemontana markgrafiana","J.F. Macbr.",,,17676
APOCYNACEAE,"Tabernaemontana maxima",Markgr.,,"source: Notizbl. Bot. Gart. Berlin-Dahlem 1930",29330
APOCYNACEAE,"Tabernaemontana muricata","Link ex Roem. & Schult.",,"source: Systema Vegetabilium 4: 431. 1819",29332
APOCYNACEAE,"Tabernaemontana sananho","Ruiz & Pav.",,,17678
APOCYNACEAE,"Tabernaemontana siphilitica",Leeuwenb.,,"source: Journal of Ethnopharmacology 10: 17. 1984",29334
APOCYNACEAE,"Tabernaemontana undulata",Vahl,,,17680
FABACEAE,"Tachigali chrysophylla","Zarucchi & Herend.",,,17687
FABACEAE,"Tachigali formicarum",Harms,,,17688
FABACEAE,"Tachigali inconspicua","van der Werff",,,17690
FABACEAE,"Tachigali macbridei","Zarucchi & Herend.",,"source: Monogr. Syst. Bot. Missouri Bot. Gard. 1993",29341
FABACEAE,"Tachigali paraensis",Barneby,,"source: Brittonia 1996",29342
FABACEAE,"Tachigali setifera","Zarucchi & Herend.",,,17691
FABACEAE,"Tachigali vasquezii",Pipoly,,,17692
SAPINDACEAE,"Talisia cerasina",Radlk.,,,17717
SAPINDACEAE,"Talisia croatii",Acev.-Rodr.,,,17718
SAPINDACEAE,"Talisia megaphylla","Sagot ex Radlk.",,,17721
SAPINDACEAE,"Talisia microphylla",Uittien,,,17722
SAPINDACEAE,"Talisia princeps",Oliv.,,,17723
ANACARDIACEAE,"Tapirira guianensis",Aubl.,,,17741
ANACARDIACEAE,"Tapirira obtusa","J.D. Mitch.",,,17743
ANACARDIACEAE,"Tapirira retusa",Ducke,,,17744
DICHAPETALACEAE,"Tapura amazonica",Poepp.,,,17748
DICHAPETALACEAE,"Tapura coriacea","J.F. Macbr.",,,17749
DICHAPETALACEAE,"Tapura guianensis",Aubl.,,,17750
DICHAPETALACEAE,"Tapura juruana",Rizzini,,,17751
DICHAPETALACEAE,"Tapura magnifolia",Prance,,,17752
DICHAPETALACEAE,"Tapura peruviana","K. Krause",,,17753
COMBRETACEAE,"Terminalia amazonia",Exell,,,17828
COMBRETACEAE,"Terminalia dichotoma","G. Mey.",,,17833
COMBRETACEAE,"Terminalia guyanensis",Eichler,,,17837
COMBRETACEAE,"Terminalia oblonga",Steud.,,,17838
ASTERACEAE,"Tessaria integrifolia","Ruiz & Pav.",,,17869
MELASTOMATACEAE,"Tessmannianthus heterostemon",Markgr.,,,17871
ANNONACEAE,"Tetrameranthus globulifer",Westra,,,17885
SALICACEAE,"Tetrathylacium macrophyllum",Poepp.,,,17903
EUPHORBIACEAE,"Tetrorchidium andinum","Müll. Arg.",,,17905
EUPHORBIACEAE,"Tetrorchidium macrophyllum","Müll. Arg.",,,17908
EUPHORBIACEAE,"Tetrorchidium rubrivenium",Poepp.,,,17911
MALVACEAE,"Theobroma bicolor",Bonpl.,,,18021
MALVACEAE,"Theobroma cacao",L.,,,18022
MALVACEAE,"Theobroma glaucum","H. Karst.",,,18024
MALVACEAE,"Theobroma grandiflorum","K. Schum.",,,18025
MALVACEAE,"Theobroma speciosum","Willd. ex Spreng.",,,18027
MALVACEAE,"Theobroma subincanum",Mart.,,,18028
ANACARDIACEAE,"Thyrsodium paraense",Huber,,"source: Bull. Soc. Bot. Genève 1915",18060
RUTACEAE,"Ticorea diandra",Kallunki,,,18073
MELASTOMATACEAE,"Tococa capitata","Trail ex Cogn.",,,18223
RUBIACEAE,"Tocoyena pittieri",Standl.,,,18239
RUBIACEAE,"Tocoyena williamsii",Standl.,,,18240
MELASTOMATACEAE,"Topobea asplundii",Wurdack,,,18253
MELASTOMATACEAE,"Topobea induta",Markgr.,,,18258
SAPINDACEAE,"Toulicia reticulata",Radlk.,,,18268
HELIOTROPIACEAE,"Tournefortia glabra",L.,,,18277
CLUSIACEAE,"Tovomita calophyllophylla","García-Villacorta & Hammel",,,18297
CLUSIACEAE,"Tovomita umbellata",Benth.,,,18304
CLUSIACEAE,"Tovomita weddelliana","Planch. & Triana",,,18305
RUTACEAE,"Toxosiphon carinatus",Kallunki,,,18313
RUTACEAE,"Toxosiphon trifoliatus",Kallunki,,,18314
BURSERACEAE,"Trattinnickia burserifolia",Mart.,,,18330
BURSERACEAE,"Trattinnickia glaziovii",Swart,,,18331
BURSERACEAE,"Trattinnickia lawrancei",Standl.,,,18333
BURSERACEAE,"Trattinnickia peruviana",Loes.,,,18334
CANNABACEAE,"Trema micrantha",Blume,,,18339
MELIACEAE,"Trichilia adolfi",Harms,,,18354
MELIACEAE,"Trichilia cipo","C. DC.",,,18355
MELIACEAE,"Trichilia elegans","A. Juss.",,,18356
MELIACEAE,"Trichilia elsae",Harms,,,18358
MELIACEAE,"Trichilia euneura","C. DC.",,"source: Monogr. Phan. 1878",29673
MELIACEAE,"Trichilia laxipaniculata",Cuatrec.,,,18363
MELIACEAE,"Trichilia maynasiana","C. DC.",,,18365
MELIACEAE,"Trichilia micrantha",Benth.,,,18368
MELIACEAE,"Trichilia obovata","W. Palacios",,,18371
MELIACEAE,"Trichilia pachypoda","C. DC. ex Harms",,,18372
MELIACEAE,"Trichilia pallida",Sw.,,,18373
MELIACEAE,"Trichilia pittieri","C. DC.",,,18374
MELIACEAE,"Trichilia pleeana","C. DC.",,,18375
MELIACEAE,"Trichilia poeppigii","C. DC.",,,18376
MELIACEAE,"Trichilia quadrijuga",Kunth,,,18378
MELIACEAE,"Trichilia rubra","C. DC.",,,18381
MELIACEAE,"Trichilia septentrionalis","C. DC.",,,18382
MELIACEAE,"Trichilia solitudinis",Harms,,,18385
MELIACEAE,"Trichilia stipitata","T.D. Penn.",,,18387
ANNONACEAE,"Trigynaea duckei","R.E. Fr.",,,18516
ANNONACEAE,"Trigynaea lagaropoda","D.M. Johnson & N.A. Murray",,,18517
ANNONACEAE,"Trigynaea triplinervis","D.M. Johnson & N.A. Murray",,,18518
POLYGONACEAE,"Triplaris americana",L.,,,18535
POLYGONACEAE,"Triplaris cumingiana","Fisch. & C.A. Mey.",,,18536
POLYGONACEAE,"Triplaris dugandii",Brandbyge,,,18537
POLYGONACEAE,"Triplaris weigeltiana",Kuntze,,,18539
MORACEAE,"Trophis caucana","C.C. Berg",,,18599
MORACEAE,"Trophis racemosa",Urb.,,,18600
MORACEAE,"Trymatococcus amazonicus","Poepp. & Endl.",,,18603
STAPHYLEACEAE,"Turpinia occidentalis","G. Don",,,18612
ANNONACEAE,"Unonopsis floribunda",Diels,,,18644
ANNONACEAE,"Unonopsis magnifolia","R.E. Fr.",,,18646
ANNONACEAE,"Unonopsis peruviana","R.E. Fr.",,,18650
ANNONACEAE,"Unonopsis spectabilis",Diels,,,18651
ANNONACEAE,"Unonopsis stipitata",Diels,,,18652
ANNONACEAE,"Unonopsis veneficiorum","(Mart.) R.E. Fr.",,,18653
URTICACEAE,"Urera baccifera","Gaudich. ex Wedd.",,,18659
URTICACEAE,"Urera caracasana","Gaudich. ex Griseb.",,,18661
URTICACEAE,"Urera simplex",Wedd.,,,18665
HUMIRIACEAE,"Vantanea guianensis",Aubl.,,"source: Hist. Pl. Guiane 1775",29855
HUMIRIACEAE,"Vantanea parviflora",Lam.,,,18768
FABACEAE,"Vatairea erythrocarpa",Ducke,,,18784
FABACEAE,"Vatairea fusca",Ducke,,"source: Arch. Jard. Bot. Rio de Janeiro 1930",29860
FABACEAE,"Vatairea guianensis",Aubl.,,,18785
FABACEAE,"Vataireopsis iglesiasii",Ducke,,"source: Bol. Tecn. Inst. Agron. N. 1944",29862
ASTERACEAE,"Vernonanthura patens","H. Rob.",,,18825
VIBURNACEAE,"Viburnum toronis","Killip & A.C. Sm.",,,18850
MYRISTICACEAE,"Virola calophylla",Warb.,,,18900
MYRISTICACEAE,"Virola decorticans",Ducke,,,18901
MYRISTICACEAE,"Virola divergens",Ducke,,,18902
MYRISTICACEAE,"Virola duckei","A.C. Sm.",,,18904
MYRISTICACEAE,"Virola elongata",Warb.,,,18905
MYRISTICACEAE,"Virola flexuosa","A.C. Sm.",,,18906
MYRISTICACEAE,"Virola mollissima",Warb.,,"source: Nov. Actorum Acad. Caes. Leop.-Carol. German. Nat. Cur. 1897",29925
MYRISTICACEAE,"Virola multinervia",Ducke,,,18909
MYRISTICACEAE,"Virola obovata",Ducke,,,18910
MYRISTICACEAE,"Virola parvifolia",Ducke,,,18911
MYRISTICACEAE,"Virola pavonis","A.C. Sm.",,,18912
MYRISTICACEAE,"Virola peruviana",Warb.,,,18913
MYRISTICACEAE,"Virola sebifera",Aubl.,,,18915
MYRISTICACEAE,"Virola surinamensis",Warb.,,"source: Nova Acta Acad. Caes. Leop.â""Carol. German. Nat. Cur. 1897",18916
HYPERICACEAE,"Vismia baccifera","Triana & Planch.",,,18921
HYPERICACEAE,"Vismia cayennensis",Pers.,,,18925
HYPERICACEAE,"Vismia confertiflora","Spruce ex Reichardt",,,18926
HYPERICACEAE,"Vismia floribunda",Sprague,,,18927
HYPERICACEAE,"Vismia gracilis",Hieron.,,,18928
HYPERICACEAE,"Vismia lauriformis",Choisy,,,18932
HYPERICACEAE,"Vismia macrophylla",Kunth,,,18933
HYPERICACEAE,"Vismia obtusa","Spruce ex Reichardt",,,18935
HYPERICACEAE,"Vismia pozuzoensis",Engl.,,,18937
HYPERICACEAE,"Vismia sandwithii",Ewan,,,18938
HYPERICACEAE,"Vismia schultesii","N. Robson",,,18939
HYPERICACEAE,"Vismia sprucei",Sprague,,,18940
LAMIACEAE,"Vitex cymosa","Bertero ex Spreng.",,,18944
LAMIACEAE,"Vitex gigantea",Kunth,,,18946
LAMIACEAE,"Vitex orinocensis",Kunth,,,18947
LAMIACEAE,"Vitex pseudolea",Rusby,,,18948
LAMIACEAE,"Vitex schunkei",Moldenke,,,18949
LAMIACEAE,"Vitex triflora",Vahl,,,18950
VOCHYSIACEAE,"Vochysia biloba",Ducke,,,18964
VOCHYSIACEAE,"Vochysia braceliniae",Standl.,,,18965
VOCHYSIACEAE,"Vochysia ferruginea",Mart.,,,18969
VOCHYSIACEAE,"Vochysia grandis",Mart.,,,18972
VOCHYSIACEAE,"Vochysia guianensis",Aubl.,,"source: Hist. Pl. Guiane 1775",29940
VOCHYSIACEAE,"Vochysia leguiana","J.F. Macbr.",,,18974
VOCHYSIACEAE,"Vochysia lomatophylla",Standl.,,"source: Publ. Field Mus. Nat. Hist., Bot. Ser. 1940",29941
VOCHYSIACEAE,"Vochysia punctata","Spruce ex Warm.",,,18980
VOCHYSIACEAE,"Vochysia venulosa",Warm.,,"source: Fl. Bras. 1875",29942
VOCHYSIACEAE,"Vochysia vismiifolia","Spruce ex Warm.",,,18983
SAPINDACEAE,"Vouarana anomala",Acev.-Rodr.,,,18987
RUBIACEAE,"Warszewiczia coccinea",Klotzsch,,,19045
RUBIACEAE,"Warszewiczia cordata","Spruce ex K. Schum.",,,19046
RUBIACEAE,"Warszewiczia schwackei","K. Schum.",,"source: Fl. Bras. 1889",29975
ARECACEAE,"Wettinia maynensis",Spruce,,,19136
RUBIACEAE,"Wittmackanthus stanleyanus",Kuntze,,,19156
ANNONACEAE,"Xylopia aromatica",Mart.,,,19227
ANNONACEAE,"Xylopia calophylla","R.E. Fr.",,,19228
ANNONACEAE,"Xylopia cuspidata",Diels,,,19230
ANNONACEAE,"Xylopia excellens","R.E. Fr.",,,19231
ANNONACEAE,"Xylopia ligustrifolia","Humb. & Bonpl. ex Dunal",,,19232
ANNONACEAE,"Xylopia multiflora","R.E. Fr.",,,19233
ANNONACEAE,"Xylopia nitida",Dunal,,,19235
ANNONACEAE,"Xylopia parviflora",Spruce,,,19236
ANNONACEAE,"Xylopia sericea","A. St.-Hil.",,,19237
SALICACEAE,"Xylosma benthamii","Triana & Planch.",,,19239
SALICACEAE,"Xylosma tessmannii",Sleumer,,,19243
LAURACEAE,"Yasunia sessiliflora","van der Werff",,,19256
RUTACEAE,"Zanthoxylum sp.",L.,,,19267
RUTACEAE,"Zanthoxylum acuminatum",Sw.,,,19268
RUTACEAE,"Zanthoxylum caribaeum",Lam.,,,19272
RUTACEAE,"Zanthoxylum compactum","P.G. Waterman",,,19273
RUTACEAE,"Zanthoxylum ekmanii",Alain,,,19274
RUTACEAE,"Zanthoxylum formiciferum","P.G. Waterman",,,19277
RUTACEAE,"Zanthoxylum martinicense",DC.,,,19282
RUTACEAE,"Zanthoxylum riedelianum",Engl.,,,19286
RUTACEAE,"Zanthoxylum sprucei",Engl.,,,19289
RUTACEAE,"Zanthoxylum weberbaueri","J.F. Macbr.",,,19292
CELASTRACEAE,"Zinowiewia australis",Lundell,,,19311
RHAMNACEAE,"Ziziphus cinnamomum","Triana & Planch.",,,19314
FABACEAE,"Zygia cataractae","L. Rico",,,19331
FABACEAE,"Zygia coccinea","L. Rico",,,19332
FABACEAE,"Zygia dependens","L. Rico",,"source: Kew Bull. 1991",30087
FABACEAE,"Zygia dinizii","D.A. Neill, G.P. Lewis & Klitg.",,,19334
FABACEAE,"Zygia heteroneura","Barneby & J.W. Grimes",,,19337
FABACEAE,"Zygia inaequalis",Pittier,,,19338
FABACEAE,"Zygia juruana","L. Rico",,,19339
FABACEAE,"Zygia lathetica","Barneby & J.W. Grimes",,,19340
FABACEAE,"Zygia latifolia","Fawc. & Rendle",,,19341
FABACEAE,"Zygia longifolia","Britton & Rose",,,19342
FABACEAE,"Zygia macrophylla","L. Rico",,,19343
