Genus,SpeciesName,Mnemonic,Family,Authority,Idlevel
Cecropia,ficifolia,CECRFI,Urticaceae,Warb. ex Snethl.,species
Cecropia,herthae,CECRHE,Urticaceae,Diels,species
Cecropia,marginalis,CECRMA,Urticaceae,Cuatrec.,species
Cecropia,membranacea,CECRME,Urticaceae,Tr cul,species
Cecropia,putumayonis,CECRPU,Urticaceae,Cuatrec.,species
Cecropia,sciadophylla,CECRSC,Urticaceae,Mart.,species
Cedrela,odorata,CEDAOD,Meliaceae,L.,species
Cedrelinga,cateniformis,CEDGCA,Fabaceae,Ducke,species
Ceiba,pentandra,CEIBPE,Malvaceae,L. Gaertn.,species
Ceiba,samauma,CEIBSA,Malvaceae,(Mart.) K. Schum.,species
Celtis,schippii,CELTSC,Cannabaceae,Standl.,species
Centropogon,loretensis,CENTLO,Campanulaceae,E. Wimm.,species
Cestrum,megalophyllum,CESTME,Solanaceae,Dunal,species
Cestrum,silvaticum,CESTSI,Solanaceae,Francey,species
Cestrum,tomentosum,CESTTO,Solanaceae,L. f.,species
Chamaedorea,pauciflora,CHAMPA,Arecaceae,Mart.,species
Chamaedorea,pinnatifrons,CHAMPI,Arecaceae,(Jacq.) Oerst.,species
Cheiloclinium,cognatum,CHEICO,Celastraceae,(Miers) A.C. Sm.,species
Chimarrhis,glabriflora,CHIMGL,Rubiaceae,Ducke,species
Chimarrhis,jacob,CHIMJA,Rubiaceae,,genus
Chionanthus,implicatus,CHIOOP,Oleaceae,(Rusby) P.S. Green,species
Chlorocardium,2subopo,CHLO2S,Lauraceae,,genus
Chomelia,polyantha,CHOMPO,Rubiaceae,S.F. Blake,species
Chomelia,tenuiflora,CHOMCO,Rubiaceae,Benth.,species
Chrysochlamys,fragil,CHRCFR,Clusiaceae,,genus
Chrysochlamys,hugo,CHRCHU,Clusiaceae,,genus
Chrysochlamys,membranacea,CHRCME,Clusiaceae,Planch. & Triana,species
Chrysochlamys,tenuifolia,CHRCTE,Clusiaceae,Cuatrec.,species
Chrysophyllum,amazonicum,CHRYAM,Sapotaceae,T.D. Penn.,species
Chrysophyllum,argenteum,CHRYAR,Sapotaceae,Jacq.,species
Chrysophyllum,cuneifolium,CHRYCU,Sapotaceae,(Rudge) A. DC.,species
Chrysophyllum,manaosense,CHRYMA,Sapotaceae,(Aubr v.) T.D. Penn.,species
Chrysophyllum,minor,CHRYMI,Sapotaceae,,genus
Chrysophyllum,ovale,CHRYOV,Sapotaceae,Rusby,species
Chrysophyllum,tremi,CHRYTR,Sapotaceae,,genus
Chrysophyllum,venezuelanense,CHRYVE,Sapotaceae,(Pierre) T.D. Penn.,species
Cinnamomum,napoense,CINNNA,Lauraceae,van der Werff,species
Cinnamomum,triplinerve,CINNTR,Lauraceae,(Kunth) Koesterm.,species
Citharexylum,poeppigii,CITHPO,Verbenaceae,Walp.,species
Clarisia,biflora,CLARBI,Moraceae,Ruiz & Pav.,species
Clarisia,racemosa,CLARRA,Moraceae,Ruiz & Pav.,species
Clavija,delgada,CLAVDE,Primulaceae,,genus
Clavija,procera,CLAVPR,Primulaceae,B. St hl,species
Clavija,weberbaueri,CLAVWE,Primulaceae,Mez,species
Clidemia,dimorphica,CLIDDI,Melastomataceae,J.F. Macbr.,species
Coccoloba,cordi,COCCCO,Polygonaceae,,genus
Coccoloba,densifrons,COCCDE,Polygonaceae,Mart. ex Meisn.,species
Coccoloba,gigante,COCCGI,Polygonaceae,,genus
Coccoloba,jill,COCCJI,Polygonaceae,,genus
Coccoloba,lancifuzz,COCCLA,Polygonaceae,,genus
Coccoloba,mollis,COCCMO,Polygonaceae,Casar.,species
Coccoloba,ninfi,COCCNI,Polygonaceae,,genus
Coccoloba,papel,COCCPA,Polygonaceae,,genus
Coccoloba,puntoblanco,COCCPB,Polygonaceae,,genus
Coccoloba,puntonegro,COCCPU,Polygonaceae,,genus
Coccoloba,subscab,COCCSU,Polygonaceae,,genus
Colubrina,arbol,COLUAR,Rhamnaceae,,genus
Compsoneura,capitellata,COMPCA,Myristicaceae,(A. DC.) Warb.,species
Compsoneura,ulei,COMPUL,Myristicaceae,Warb.,species
Conceveiba,rhytidocarpa,CONCRH,Euphorbiaceae,M ll. Arg. in Mart.,species
Cordia,alliodora,CORDAL,Boraginaceae,(Ruiz & Pav.) Cham.,species
Cordia,buladent,CORDBU,Boraginaceae,,genus
Cordia,chamissoniana,CORDCH,Boraginaceae,Steud.,species
Cordia,collococca,CORDCO,Boraginaceae,L.,species
Cordia,hebeclada,CORDHE,Boraginaceae,I.M. Johnst.,species
Cordia,joli,CORDJO,Boraginaceae,,genus
Cordia,kingstoniana,CORDKI,Boraginaceae,J.S. Mill.,species
Cordia,nodosa,CORDNO,Boraginaceae,Lam.,species
Cordia,ucayaliensis,CORDUC,Boraginaceae,(I.M. Johnst.) I.M. Johnst.,species
Couepia,obovata,COUEOB,Chrysobalanaceae,Ducke,species
Couepia,parillo,COUEPA,Chrysobalanaceae,DC.,species
Couratari,guianensis,COUTGU,Lecythidaceae,Aubl.,species
Couroupita,guianensis,COURGU,Lecythidaceae,Aubl.,species
Coussapoa,orthoneura,COSSOR,Urticaceae,Standl.,species
