"Genus","SpeciesName","Mnemonic","Family","Authority","Idlevel","Species","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"Amyris","macrocarpa","AMYRMA","Rutaceae","Gereau","species","Amyris macrocarpa","Amyris macrocarpa",5594907,"AMYRMA-Amyris macrocarpa"
"Anaxagorea","brevipes","ANAXBR","Annonaceae","Benth.","species","Anaxagorea brevipes","Anaxagorea brevipes",3156884,"ANAXBR-Anaxagorea brevipes"
"Andira","inermis","ANDIIN","Fabaceae","(W. Wright) DC.","species","Andira inermis","Andira inermis",2952214,"ANDIIN-Andira inermis"
"Andira","macrocarpa","ANDIMC","Fabaceae","R.T. Penn.","species","Andira macrocarpa","Andira macrocarpa",3965577,"ANDIMC-Andira macrocarpa"
"Andira","multistipula","ANDIMU","Fabaceae","Ducke","species","Andira multistipula","Andira multistipula",2952159,"ANDIMU-Andira multistipula"
"Aniba","guianensis","ANIBGU","Lauraceae","Aubl.","species","Aniba guianensis","Aniba guianensis",3034090,"ANIBGU-Aniba guianensis"
"Aniba","hostmanniana","ANIBHO","Lauraceae","(Nees) Mez","species","Aniba hostmanniana","Aniba hostmanniana",4181158,"ANIBHO-Aniba hostmanniana"
"Aniba","panurensis","ANIBPA","Lauraceae","(Meisn.) Mez","species","Aniba panurensis","Aniba panurensis",4180762,"ANIBPA-Aniba panurensis"
"Aniba","riparia","ANIBRI","Lauraceae","(Nees) Mez","species","Aniba riparia","Aniba riparia",4180474,"ANIBRI-Aniba riparia"
"Aniba","taubertiana","ANIBTA","Lauraceae","Mez","species","Aniba taubertiana","Aniba taubertiana",4180312,"ANIBTA-Aniba taubertiana"
"Annona","ambotay","ANNOAM","Annonaceae","Aubl.","species","Annona ambotay","Annona ambotay",5407112,"ANNOAM-Annona ambotay"
"Annona","cuspidata","ROLLCU","Annonaceae","H. Rainer","species","Annona cuspidata","Annona cuspidata",5541649,"ROLLCU-Annona cuspidata"
"Annona","dolichopetala","ROLLDO","Annonaceae","(R.E. Fr.) H.Rainer","species","Annona dolichopetala","Annona dolichopetala",5541645,"ROLLDO-Annona dolichopetala"
"Annona","duckei","ANNODU","Annonaceae","Diels","species","Annona duckei","Annona duckei",5407170,"ANNODU-Annona duckei"
"Annona","edulis","GUATGS","Annonaceae","(Triana & Planch.) H.Rainer)","species","Annona edulis","Annona edulis",5541644,"GUATGS-Annona edulis"
"Annona","glomerulifera","ROLLGL","Annonaceae","H. Rainer","species","Annona glomerulifera","Annona glomerulifera",5541639,"ROLLGL-Annona glomerulifera"
"Annona","neochrysocarpa","ROLLCH","Annonaceae","H. Rainer","species","Annona neochrysocarpa","Annona neochrysocarpa",5541619,"ROLLCH-Annona neochrysocarpa"
"Annona","papilionella","ROLLPI","Annonaceae","(Diels) H. Rainer","species","Annona papilionella","Annona papilionella",5541609,"ROLLPI-Annona papilionella"
"Anthodiscus","amazonicus","ANTHAM","Caryocaraceae","Gleason & A.C. Sm.","species","Anthodiscus amazonicus","Anthodiscus amazonicus",5592414,"ANTHAM-Anthodiscus amazonicus"
"Aparisthmium","cordatum","APARCO","Euphorbiaceae","(A. Juss.) Baill.","species","Aparisthmium cordatum","Aparisthmium cordatum",3072468,"APARCO-Aparisthmium cordatum"
"Apeiba","membranacea","APEIME","Malvaceae","Spruce ex Benth.","species","Apeiba membranacea","Apeiba membranacea",4260481,"APEIME-Apeiba membranacea"
"Apeiba","tibourbou","APEITI","Malvaceae","Aubl.","species","Apeiba tibourbou","Apeiba tibourbou",3152052,"APEITI-Apeiba tibourbou"
"Aphelandra","crispata","APHECR","Acanthaceae","Leonard","species","Aphelandra crispata","Aphelandra crispata",3779855,"APHECR-Aphelandra crispata"
"Aphelandra","hylaea","APHEHY","Acanthaceae","Leonard","species","Aphelandra hylaea","Aphelandra hylaea",3778869,"APHEHY-Aphelandra hylaea"
"Aptandra","tubicina","APTATU","Olacaceae","(Poepp.) Benth. ex Miers","species","Aptandra tubicina","Aptandra tubicina",3685770,"APTATU-Aptandra tubicina"
"Apuleia","leiocarpa","APULLE","Fabaceae","(Vogel) J. F. Macbr.","species","Apuleia leiocarpa","Apuleia leiocarpa",5353578,"APULLE-Apuleia leiocarpa"
"Aspidosperma","darienense","ASPIDA","Apocynaceae","Woodson ex Dwyer","species","Aspidosperma darienense","Aspidosperma darienense",10398357,"ASPIDA-Aspidosperma darienense"
"Aspidosperma","megalocarpon","ASPIME","Apocynaceae","M ll. Arg.","species","Aspidosperma megalocarpon","Aspidosperma megalocarpon",7316950,"ASPIME-Aspidosperma megalocarpon"
"Aspidosperma","rigidum","ASPIRI","Apocynaceae","Rusby","species","Aspidosperma rigidum","Aspidosperma rigidum",3616924,"ASPIRI-Aspidosperma rigidum"
"Aspidosperma","spruceanum","ASPISP","Apocynaceae","Benth. ex M ll. Arg.","species","Aspidosperma spruceanum","Aspidosperma spruceanum",3616705,"ASPISP-Aspidosperma spruceanum"
"Astrocaryum","chambira","ASTCCH","Arecaceae","Burret","species","Astrocaryum chambira","Astrocaryum chambira",2738064,"ASTCCH-Astrocaryum chambira"
"Astrocaryum","urostachys","ASTCMU","Arecaceae","Burret.","species","Astrocaryum urostachys","Astrocaryum urostachys",2738111,"ASTCMU-Astrocaryum urostachys"
"Astronium","graveolens","ASTRGR","Anacardiaceae","Jacq.","species","Astronium graveolens","Astronium graveolens",7321588,"ASTRGR-Astronium graveolens"
"Attalea","maripa","ATTAMA","Arecaceae","(Aubl.) Mart.","species","Attalea maripa","Attalea maripa",2732686,"ATTAMA-Attalea maripa"
"Bactris","corossilla","BACTCO","Arecaceae","H. Karst.","species","Bactris corossilla","Bactris corossilla",2733242,"BACTCO-Bactris corossilla"
"Bactris","maraja","BACTMA","Arecaceae","Trail","species","Bactris maraja","Bactris maraja",2732946,"BACTMA-Bactris maraja"
"Bactris","simplicifrons","BACTSI","Arecaceae","Mart.","species","Bactris simplicifrons","Bactris simplicifrons",2733215,"BACTSI-Bactris simplicifrons"
"Banara","nitida","BANANI","Salicaceae","Spruce ex Benth.","species","Banara nitida","Banara nitida",3879623,"BANANI-Banara nitida"
"Batocarpus","amazonicus","BATOAM","Moraceae","(Ducke) Fosberg","species","Batocarpus amazonicus","Batocarpus amazonicus",3763869,"BATOAM-Batocarpus amazonicus"
"Batocarpus","costaricensis","BATOCO","Moraceae","Standl. & L.O. Williams","species","Batocarpus costaricensis","Batocarpus costaricensis",3763858,"BATOCO-Batocarpus costaricensis"
"Batocarpus","orinocensis","BATOOR","Moraceae","H. Karst.","species","Batocarpus orinocensis","Batocarpus orinocensis",3763838,"BATOOR-Batocarpus orinocensis"
"Bauhinia","brachycalyx","BAUHBR","Fabaceae","Ducke","species","Bauhinia brachycalyx","Bauhinia brachycalyx",2953223,"BAUHBR-Bauhinia brachycalyx"
"Beilschmiedia","pendula","BEILPE","Lauraceae","(Sw.) Hemsl.","species","Beilschmiedia pendula","Beilschmiedia pendula",3034073,"BEILPE-Beilschmiedia pendula"
"Bellucia","pentamera","BELLPE","Melastomataceae","Naudin","species","Bellucia pentamera","Bellucia pentamera",3866517,"BELLPE-Bellucia pentamera"
"Bertiera","guianensis","BERTGU","Rubiaceae","Aubl.","species","Bertiera guianensis","Bertiera guianensis",2908816,"BERTGU-Bertiera guianensis"
"Besleria","quadrangulata","BESLQU","Gesneriaceae","L.E. Skog","species","Besleria quadrangulata","Besleria quadrangulata",3824140,"BESLQU-Besleria quadrangulata"
"Besleria","stricta","BESLST","Gesneriaceae","L.E. Skog","species","Besleria stricta","Besleria stricta",3823566,"BESLST-Besleria stricta"
"Borojoa","claviflora","BOROCL","Rubiaceae","(K.Schum.) Cuatr.","species","Borojoa claviflora","Alibertia claviflora",5340527,"BOROCL-Borojoa claviflora"
"Brosimum","acutifolium","BROSAC","Moraceae","Huber","species","Brosimum acutifolium","Brosimum acutifolium",7262461,"BROSAC-Brosimum acutifolium"
"Brosimum","guianense","BROSGU","Moraceae","(Aubl.) Huber","species","Brosimum guianense","Brosimum guianense",7374879,"BROSGU-Brosimum guianense"
"Brosimum","lactescens","BROSLA","Moraceae","(S. Moore) C.C. Berg","species","Brosimum lactescens","Brosimum lactescens",3763127,"BROSLA-Brosimum lactescens"
"Brosimum","potabile","BROSPO","Moraceae","Ducke","species","Brosimum potabile","Brosimum potabile",3762892,"BROSPO-Brosimum potabile"
"Brosimum","utile","BROSUT","Moraceae","(Kunth) Pittier","species","Brosimum utile","Brosimum utile",8042591,"BROSUT-Brosimum utile"
"Brownea","grandiceps","BROWGR","Fabaceae","Jacq.","species","Brownea grandiceps","Brownea grandiceps",2970463,"BROWGR-Brownea grandiceps"
"Brownea","jaramilloi","BROWLO","Fabaceae","A.J. P rez & Klitg.","species","Brownea jaramilloi","Brownea jaramilloi",8875403,"BROWLO-Brownea jaramilloi"
"Brunfelsia","chiricaspi","BRUNCH","Solanaceae","Plowman","species","Brunfelsia chiricaspi","Brunfelsia chiricaspi",2932912,"BRUNCH-Brunfelsia chiricaspi"
"Brunfelsia","grandiflora","BRUNSH","Solanaceae","Plowman","species","Brunfelsia grandiflora","Brunfelsia grandiflora",2932917,"BRUNSH-Brunfelsia grandiflora"
"Buchenavia","congesta","BUCHCO","Combretaceae","Ducke","species","Buchenavia congesta","Terminalia congesta",9578164,"BUCHCO-Buchenavia congesta"
"Buchenavia","grandis","BUCHGR","Combretaceae","Ducke","species","Buchenavia grandis","Terminalia grandis",9392612,"BUCHGR-Buchenavia grandis"
"Buchenavia","macrophylla","BUCHMA","Combretaceae","Eichler","species","Buchenavia macrophylla","Terminalia macrophylla",9578576,"BUCHMA-Buchenavia macrophylla"
"Buchenavia","oxycarpa","BUCHPU","Combretaceae","(Mart.) Eichler","species","Buchenavia oxycarpa","Terminalia oxycarpa",3699032,"BUCHPU-Buchenavia oxycarpa"
"Buchenavia","parvifolia","BUCHPA","Combretaceae","Ducke","species","Buchenavia parvifolia","Terminalia parvifolia",9455981,"BUCHPA-Buchenavia parvifolia"
"Bunchosia","argentea","BUNCAR","Malpighiaceae","(Jacq.) DC.","species","Bunchosia argentea","Bunchosia argentea",3984105,"BUNCAR-Bunchosia argentea"
"Byrsonima","putumayensis","BYRSPU","Malpighiaceae","Cuatrec.","species","Byrsonima putumayensis","Byrsonima putumayensis",3984820,"BYRSPU-Byrsonima putumayensis"
"Cabralea","canjerana","CABRCA","Meliaceae","(Vell.) Mart.","species","Cabralea canjerana","Cabralea canjerana",7271502,"CABRCA-Cabralea canjerana"
"Calliandra","carbonaria","CALLCA","Fabaceae","Benth.","species","Calliandra carbonaria","Calliandra trinervia",2982050,"CALLCA-Calliandra carbonaria"
"Calophyllum","brasiliense","CALOBR","Calophyllaceae","Cambess.","species","Calophyllum brasiliense","Calophyllum brasiliense",5421069,"CALOBR-Calophyllum brasiliense"
"Calycophyllum","megistocaulum","CALCME","Rubiaceae","(K. Krause) C.M. Taylor","species","Calycophyllum megistocaulum","Calycophyllum megistocaulum",2903996,"CALCME-Calycophyllum megistocaulum"
"Calyptranthes","bipennis","CALPBI","Myrtaceae","O. Berg","species","Calyptranthes bipennis","Myrcia tenuiflora",10686259,"CALPBI-Calyptranthes bipennis"
"Calyptranthes","glandulosa","CALPPC","Myrtaceae","M.L. Kawas. & B. Holst","species","Calyptranthes glandulosa","Myrcia adenophylla",10681855,"CALPPC-Calyptranthes glandulosa"
"Calyptranthes","manuensis","CALPPS","Myrtaceae","B. Holst & M.L. Kawasaki","species","Calyptranthes manuensis","Myrcia manuensis",10802852,"CALPPS-Calyptranthes manuensis"
"Calyptranthes","maxima","CALPGI","Myrtaceae","McVaugh","species","Calyptranthes maxima","Myrcia maxima",10694317,"CALPGI-Calyptranthes maxima"
"Calyptranthes","nervata","CALPNE","Myrtaceae","M.L. Kawas. & B. Holst","species","Calyptranthes nervata","Myrcia nervata",10686603,"CALPNE-Calyptranthes nervata"
"Calyptranthes","plicata","CALPPL","Myrtaceae","McVaugh","species","Calyptranthes plicata","Myrcia plicata",10785938,"CALPPL-Calyptranthes plicata"
"Calyptranthes","ruiziana","CALPRU","Myrtaceae","O. Berg","species","Calyptranthes ruiziana","Myrcia ruiziana",10773731,"CALPRU-Calyptranthes ruiziana"
"Calyptranthes","speciosa","CALPSP","Myrtaceae","Sagot","species","Calyptranthes speciosa","Myrcia neospeciosa",10825908,"CALPSP-Calyptranthes speciosa"
"Campomanesia","lineatifolia","CAMPLI","Myrtaceae","Ruiz & Pav.","species","Campomanesia lineatifolia","Campomanesia lineatifolia",3181134,"CAMPLI-Campomanesia lineatifolia"
"Capirona","decorticans","CAPIDE","Rubiaceae","Spruce","species","Capirona decorticans","Capirona macrophylla",10910620,"CAPIDE-Capirona decorticans"
"Capparidastrum","osmanthum","CAPPOS","Capparaceae","(Diels) Cornejo & Iltis","species","Capparidastrum osmanthum","Capparidastrum osmanthum",7379306,"CAPPOS-Capparidastrum osmanthum"
"Capparidastrum","solum","CAPPSO","Capparaceae","(J.F. Macbr.) X. Cornejo & H.H. Iltis","species","Capparidastrum solum","Capparidastrum solum",8405416,"CAPPSO-Capparidastrum solum"
"Carica","microcarpa","CARIMI","Caricaceae","Jacq.","species","Carica microcarpa","Vasconcellea microcarpa",7269680,"CARIMI-Carica microcarpa"
"Carpotroche","longifolia","CARPLO","Salicaceae","Benth.","species","Carpotroche longifolia","Carpotroche longifolia",7274065,"CARPLO-Carpotroche longifolia"
"Caryocar","glabrum","CARYGL","Caryocaraceae","(Aubl.) Pers.","species","Caryocar glabrum","Caryocar glabrum",3826026,"CARYGL-Caryocar glabrum"
"Caryodaphnopsis","fosteri","CAROFO","Lauraceae","van der Werff","species","Caryodaphnopsis fosteri","Caryodaphnopsis fosteri",4180147,"CAROFO-Caryodaphnopsis fosteri"
"Caryodaphnopsis","tomentosa","CAROTO","Lauraceae","van der Werff","species","Caryodaphnopsis tomentosa","Caryodaphnopsis tomentosa",4180043,"CAROTO-Caryodaphnopsis tomentosa"
"Caryodendron","orinocense","CARDOR","Euphorbiaceae","H. Karst.","species","Caryodendron orinocense","Caryodendron orinocense",3055897,"CARDOR-Caryodendron orinocense"
"Casearia","aculeata","CASEAC","Salicaceae","Jacq.","species","Casearia aculeata","Casearia aculeata",5331145,"CASEAC-Casearia aculeata"
"Casearia","arborea","CASEAE","Salicaceae","(Rich.) Urb.","species","Casearia arborea","Casearia arborea",5331149,"CASEAE-Casearia arborea"
"Casearia","bracteifera","CASEBR","Salicaceae","Sagot","species","Casearia bracteifera","Casearia combaymensis",7723868,"CASEBR-Casearia bracteifera"
"Casearia","javitensis","CASEJA","Salicaceae","Kunth","species","Casearia javitensis","Piparea multiflora",3878690,"CASEJA-Casearia javitensis"
"Casearia","nigricans","CASENI","Salicaceae","Sleumer","species","Casearia nigricans","Casearia nigricans",7526781,"CASENI-Casearia nigricans"
"Casearia","pitumba","CASEPI","Salicaceae","Sleumer","species","Casearia pitumba","Casearia pitumba",7499281,"CASEPI-Casearia pitumba"
"Casearia","prunifolia","CASEPF","Salicaceae","Kunth","species","Casearia prunifolia","Casearia prunifolia",7423546,"CASEPF-Casearia prunifolia"
"Casearia","sylvestris","CASESY","Salicaceae","Sw.","species","Casearia sylvestris","Casearia sylvestris",5331148,"CASESY-Casearia sylvestris"
"Casearia","ulmifolia","CASEUL","Salicaceae","Vahl ex Vent.","species","Casearia ulmifolia","Casearia ulmifolia",8205521,"CASEUL-Casearia ulmifolia"
"Cassia","cowanii","CASSCO","Fabaceae","H.S. Irwin & Barneby","species","Cassia cowanii","Cassia cowanii",5357101,"CASSCO-Cassia cowanii"
"Castilla","ulei","CASTUL","Moraceae","Harb.","species","Castilla ulei","Castilla ulei",2984559,"CASTUL-Castilla ulei"
"Cathedra","acuminata","CATHAC","Olacaceae","(Benth.) Miers","species","Cathedra acuminata","Cathedra acuminata",8137356,"CATHAC-Cathedra acuminata"
"Cecropia","engleriana","CECREN","Urticaceae","Snethl.","species","Cecropia engleriana","Cecropia engleriana",4013581,"CECREN-Cecropia engleriana"
"Cecropia","ficifolia","CECRFI","Urticaceae","Warb. ex Snethl.","species","Cecropia ficifolia","Cecropia ficifolia",8173870,"CECRFI-Cecropia ficifolia"
"Cecropia","herthae","CECRHE","Urticaceae","Diels","species","Cecropia herthae","Cecropia herthae",4013414,"CECRHE-Cecropia herthae"
"Cecropia","marginalis","CECRMA","Urticaceae","Cuatrec.","species","Cecropia marginalis","Cecropia marginalis",4013650,"CECRMA-Cecropia marginalis"
"Cecropia","membranacea","CECRME","Urticaceae","Tr cul","species","Cecropia membranacea","Cecropia membranacea",4013609,"CECRME-Cecropia membranacea"
"Cecropia","putumayonis","CECRPU","Urticaceae","Cuatrec.","species","Cecropia putumayonis","Cecropia putumayonis",4013126,"CECRPU-Cecropia putumayonis"
"Cecropia","sciadophylla","CECRSC","Urticaceae","Mart.","species","Cecropia sciadophylla","Cecropia sciadophylla",7316424,"CECRSC-Cecropia sciadophylla"
"Cedrela","odorata","CEDAOD","Meliaceae","L.","species","Cedrela odorata","Cedrela odorata",3190511,"CEDAOD-Cedrela odorata"
"Cedrelinga","cateniformis","CEDGCA","Fabaceae","Ducke","species","Cedrelinga cateniformis","Cedrelinga cateniformis",2976174,"CEDGCA-Cedrelinga cateniformis"
"Ceiba","pentandra","CEIBPE","Malvaceae","L. Gaertn.","species","Ceiba pentandra","Ceiba pentandra",5406697,"CEIBPE-Ceiba pentandra"
"Ceiba","samauma","CEIBSA","Malvaceae","(Mart.) K. Schum.","species","Ceiba samauma","Ceiba samauma",7981929,"CEIBSA-Ceiba samauma"
"Celtis","schippii","CELTSC","Cannabaceae","Standl.","species","Celtis schippii","Celtis schippii",4159734,"CELTSC-Celtis schippii"
"Centropogon","loretensis","CENTLO","Campanulaceae","E. Wimm.","species","Centropogon loretensis","Centropogon loretensis",5412643,"CENTLO-Centropogon loretensis"
"Cestrum","megalophyllum","CESTME","Solanaceae","Dunal","species","Cestrum megalophyllum","Cestrum megalophyllum",3802352,"CESTME-Cestrum megalophyllum"
"Cestrum","silvaticum","CESTSI","Solanaceae","Francey","species","Cestrum silvaticum","Cestrum microcalyx",3802311,"CESTSI-Cestrum silvaticum"
"Cestrum","tomentosum","CESTTO","Solanaceae","L. f.","species","Cestrum tomentosum","Cestrum tomentosum",7972104,"CESTTO-Cestrum tomentosum"
"Chamaedorea","pauciflora","CHAMPA","Arecaceae","Mart.","species","Chamaedorea pauciflora","Chamaedorea pauciflora",2734687,"CHAMPA-Chamaedorea pauciflora"
"Chamaedorea","pinnatifrons","CHAMPI","Arecaceae","(Jacq.) Oerst.","species","Chamaedorea pinnatifrons","Chamaedorea pinnatifrons",2734435,"CHAMPI-Chamaedorea pinnatifrons"
"Cheiloclinium","cognatum","CHEICO","Celastraceae","(Miers) A.C. Sm.","species","Cheiloclinium cognatum","Cheiloclinium cognatum",3790743,"CHEICO-Cheiloclinium cognatum"
"Chimarrhis","glabriflora","CHIMGL","Rubiaceae","Ducke","species","Chimarrhis glabriflora","Chimarrhis glabriflora",2918977,"CHIMGL-Chimarrhis glabriflora"
"Chionanthus","implicatus","CHIOOP","Oleaceae","(Rusby) P.S. Green","species","Chionanthus implicatus","Chionanthus implicatus",3682197,"CHIOOP-Chionanthus implicatus"
"Chomelia","polyantha","CHOMPO","Rubiaceae","S.F. Blake","species","Chomelia polyantha","Chomelia polyantha",5337333,"CHOMPO-Chomelia polyantha"
"Chomelia","tenuiflora","CHOMCO","Rubiaceae","Benth.","species","Chomelia tenuiflora","Chomelia tenuiflora",5337295,"CHOMCO-Chomelia tenuiflora"
"Chrysochlamys","membranacea","CHRCME","Clusiaceae","Planch. & Triana","species","Chrysochlamys membranacea","Chrysochlamys membranacea",5555729,"CHRCME-Chrysochlamys membranacea"
"Chrysochlamys","tenuifolia","CHRCTE","Clusiaceae","Cuatrec.","species","Chrysochlamys tenuifolia","Chrysochlamys tenuifolia",5555698,"CHRCTE-Chrysochlamys tenuifolia"
"Chrysophyllum","amazonicum","CHRYAM","Sapotaceae","T.D. Penn.","species","Chrysophyllum amazonicum","Chrysophyllum amazonicum",2885635,"CHRYAM-Chrysophyllum amazonicum"
"Chrysophyllum","argenteum","CHRYAR","Sapotaceae","Jacq.","species","Chrysophyllum argenteum","Chrysophyllum argenteum",2885742,"CHRYAR-Chrysophyllum argenteum"
"Chrysophyllum","cuneifolium","CHRYCU","Sapotaceae","(Rudge) A. DC.","species","Chrysophyllum cuneifolium","Chrysophyllum cuneifolium",2885711,"CHRYCU-Chrysophyllum cuneifolium"
"Chrysophyllum","manaosense","CHRYMA","Sapotaceae","(Aubr v.) T.D. Penn.","species","Chrysophyllum manaosense","Chrysophyllum manaosense",2885648,"CHRYMA-Chrysophyllum manaosense"
"Chrysophyllum","ovale","CHRYOV","Sapotaceae","Rusby","species","Chrysophyllum ovale","Chrysophyllum ovale",2885929,"CHRYOV-Chrysophyllum ovale"
"Chrysophyllum","venezuelanense","CHRYVE","Sapotaceae","(Pierre) T.D. Penn.","species","Chrysophyllum venezuelanense","Chrysophyllum venezuelanense",2885671,"CHRYVE-Chrysophyllum venezuelanense"
"Cinnamomum","napoense","CINNNA","Lauraceae","van der Werff","species","Cinnamomum napoense","Aiouea napoensis",10119470,"CINNNA-Cinnamomum napoense"
"Cinnamomum","triplinerve","CINNTR","Lauraceae","(Kunth) Koesterm.","species","Cinnamomum triplinerve","Aiouea montana",9671278,"CINNTR-Cinnamomum triplinerve"
"Citharexylum","poeppigii","CITHPO","Verbenaceae","Walp.","species","Citharexylum poeppigii","Citharexylum poeppigii",7297664,"CITHPO-Citharexylum poeppigii"
"Clarisia","biflora","CLARBI","Moraceae","Ruiz & Pav.","species","Clarisia biflora","Clarisia biflora",7262852,"CLARBI-Clarisia biflora"
"Clarisia","racemosa","CLARRA","Moraceae","Ruiz & Pav.","species","Clarisia racemosa","Clarisia racemosa",5572170,"CLARRA-Clarisia racemosa"
"Clavija","procera","CLAVPR","Primulaceae","B. St hl","species","Clavija procera","Clavija procera",3585576,"CLAVPR-Clavija procera"
"Clavija","weberbaueri","CLAVWE","Primulaceae","Mez","species","Clavija weberbaueri","Clavija weberbaueri",3585486,"CLAVWE-Clavija weberbaueri"
"Clidemia","dimorphica","CLIDDI","Melastomataceae","J.F. Macbr.","species","Clidemia dimorphica","Miconia dimorphica",10773334,"CLIDDI-Clidemia dimorphica"
"Coccoloba","densifrons","COCCDE","Polygonaceae","Mart. ex Meisn.","species","Coccoloba densifrons","Coccoloba densifrons",4032930,"COCCDE-Coccoloba densifrons"
"Coccoloba","mollis","COCCMO","Polygonaceae","Casar.","species","Coccoloba mollis","Coccoloba mollis",4037525,"COCCMO-Coccoloba mollis"
"Compsoneura","capitellata","COMPCA","Myristicaceae","(A. DC.) Warb.","species","Compsoneura capitellata","Compsoneura capitellata",5564567,"COMPCA-Compsoneura capitellata"
"Compsoneura","ulei","COMPUL","Myristicaceae","Warb.","species","Compsoneura ulei","Compsoneura ulei",5564439,"COMPUL-Compsoneura ulei"
"Conceveiba","rhytidocarpa","CONCRH","Euphorbiaceae","M ll. Arg. in Mart.","species","Conceveiba rhytidocarpa","Conceveiba rhytidocarpa",3074954,"CONCRH-Conceveiba rhytidocarpa"
"Cordia","alliodora","CORDAL","Boraginaceae","(Ruiz & Pav.) Cham.","species","Cordia alliodora","Cordia alliodora",7649215,"CORDAL-Cordia alliodora"
"Cordia","chamissoniana","CORDCH","Boraginaceae","Steud.","species","Cordia chamissoniana","Cordia chamissoniana",7294411,"CORDCH-Cordia chamissoniana"
"Cordia","collococca","CORDCO","Boraginaceae","L.","species","Cordia collococca","Cordia collococca",5341261,"CORDCO-Cordia collococca"
"Cordia","hebeclada","CORDHE","Boraginaceae","I.M. Johnst.","species","Cordia hebeclada","Cordia hebeclada",5661992,"CORDHE-Cordia hebeclada"
"Cordia","kingstoniana","CORDKI","Boraginaceae","J.S. Mill.","species","Cordia kingstoniana","Cordia kingstoniana",5661797,"CORDKI-Cordia kingstoniana"
"Cordia","nodosa","CORDNO","Boraginaceae","Lam.","species","Cordia nodosa","Cordia nodosa",7295069,"CORDNO-Cordia nodosa"
"Cordia","ucayaliensis","CORDUC","Boraginaceae","(I.M. Johnst.) I.M. Johnst.","species","Cordia ucayaliensis","Cordia ucayaliensis",5660461,"CORDUC-Cordia ucayaliensis"
"Couepia","obovata","COUEOB","Chrysobalanaceae","Ducke","species","Couepia obovata","Couepia obovata",2984827,"COUEOB-Couepia obovata"
"Couepia","parillo","COUEPA","Chrysobalanaceae","DC.","species","Couepia parillo","Gaulettia parillo",8975055,"COUEPA-Couepia parillo"
"Couratari","guianensis","COUTGU","Lecythidaceae","Aubl.","species","Couratari guianensis","Couratari guianensis",3083111,"COUTGU-Couratari guianensis"
"Couroupita","guianensis","COURGU","Lecythidaceae","Aubl.","species","Couroupita guianensis","Couroupita guianensis",3082562,"COURGU-Couroupita guianensis"
"Coussapoa","orthoneura","COSSOR","Urticaceae","Standl.","species","Coussapoa orthoneura","Coussapoa orthoneura",4013222,"COSSOR-Coussapoa orthoneura"
"Coussarea","cephaeloides","COUSCE","Rubiaceae","C.M. Taylor","species","Coussarea cephaeloides","Coussarea cephaeloides",2904910,"COUSCE-Coussarea cephaeloides"
"Coussarea","dulcifolia","COUSDU","Rubiaceae","D.A. Neill, Cer n & C.M. Taylor","species","Coussarea dulcifolia","Coussarea dulcifolia",2904851,"COUSDU-Coussarea dulcifolia"
"Coussarea","klugii","COUSKL","Rubiaceae","Steyerm.","species","Coussarea klugii","Coussarea klugii",2904863,"COUSKL-Coussarea klugii"
"Cremastosperma","cauliflorum","CREMCA","Annonaceae","R.E. Fr.","species","Cremastosperma cauliflorum","Cremastosperma cauliflorum",3154030,"CREMCA-Cremastosperma cauliflorum"
"Cremastosperma","gracilipes","CREMGR","Annonaceae","R.E. Fr.","species","Cremastosperma gracilipes","Cremastosperma gracilipes",3154032,"CREMGR-Cremastosperma gracilipes"
"Crepidospermum","goudotianum","CREPGO","Burseraceae","(Tul.) Triana & Planch.","species","Crepidospermum goudotianum","Crepidospermum goudotianum",3992710,"CREPGO-Crepidospermum goudotianum"
"Crepidospermum","rhoifolium","CREPRH","Burseraceae","(Benth.) Triana & Planch.","species","Crepidospermum rhoifolium","Crepidospermum rhoifolium",3992648,"CREPRH-Crepidospermum rhoifolium"
"Croton","lechleri","CROTLE","Euphorbiaceae","M ll. Arg.","species","Croton lechleri","Croton lechleri",3057776,"CROTLE-Croton lechleri"
"Cryptocarya","yasuniensis","CRYPNO","Lauraceae","P.L.R. de Moraes & van der Werff","species","Cryptocarya yasuniensis","Cryptocarya yasuniensis",8132198,"CRYPNO-Cryptocarya yasuniensis"
"Cupania","cinerea","CUPACI","Sapindaceae","Poepp.","species","Cupania cinerea","Cupania cinerea",3785984,"CUPACI-Cupania cinerea"
"Cupania","livida","CUPALI","Sapindaceae","(Radlk.) Croat","species","Cupania livida","Cupania livida",3785240,"CUPALI-Cupania livida"
"Cyathea","lasiosora","CYATLA","Cyatheaceae","(Mett. ex Kuhn) Domin","species","Cyathea lasiosora","Cyathea lasiosora",3598409,"CYATLA-Cyathea lasiosora"
"Cyathea","pungens","CYATPU","Cyatheaceae","(Willd.) Domin","species","Cyathea pungens","Cyathea pungens",2650287,"CYATPU-Cyathea pungens"
"Cybianthus","anthuriophyllus","CYBIAN","Primulaceae","Pipoly","species","Cybianthus anthuriophyllus","Cybianthus anthuriophyllus",3718992,"CYBIAN-Cybianthus anthuriophyllus"
"Cymbopetalum","coriaceum","CYMBCO","Annonaceae","N.A. Murray","species","Cymbopetalum coriaceum","Cymbopetalum coriaceum",3157862,"CYMBCO-Cymbopetalum coriaceum"
