"Genus","SpeciesName","Mnemonic","Family","Authority","Idlevel","Species","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"Sorocea","steinbachii","SOROST","Moraceae","C.C. Berg","species","Sorocea steinbachii","Sorocea steinbachii",3764462,"SOROST-Sorocea steinbachii"
"Sphinctanthus","maculatus","ZZRUNE","Rubiaceae","Spruce ex K. Schum.","species","Sphinctanthus maculatus","Sphinctanthus maculatus",2893764,"ZZRUNE-Sphinctanthus maculatus"
"Spondias","mombin","SPONMO","Anacardiaceae","L.","species","Spondias mombin","Spondias mombin",8185571,"SPONMO-Spondias mombin"
"Sterculia","apeibophylla","STERAP","Malvaceae","Ducke","species","Sterculia apeibophylla","Sterculia apeibophylla",7745281,"STERAP-Sterculia apeibophylla"
"Sterculia","apetala","STERAT","Malvaceae","(Jacq.) H. Karst.","species","Sterculia apetala","Sterculia apetala",5406679,"STERAT-Sterculia apetala"
"Sterculia","colombiana","STERCO","Malvaceae","Sprague","species","Sterculia colombiana","Sterculia colombiana",8250451,"STERCO-Sterculia colombiana"
"Sterculia","frondosa","STERFR","Malvaceae","Rich.","species","Sterculia frondosa","Sterculia frondosa",8394990,"STERFR-Sterculia frondosa"
"Sterculia","tessmannii","STERTE","Malvaceae","Mildbr.","species","Sterculia tessmannii","Sterculia tessmannii",7700900,"STERTE-Sterculia tessmannii"
"Strychnos","darienensis","STRCDA","Loganiaceae","Seem.","species","Strychnos darienensis","Strychnos darienensis",5645381,"STRCDA-Strychnos darienensis"
"Stryphnodendron","porcatum","STRYPO","Fabaceae","D.A. Neill & Occhioni f.","species","Stryphnodendron porcatum","Stryphnodendron porcatum",2951713,"STRYPO-Stryphnodendron porcatum"
"Stylogyne","longifolia","STYLLO","Primulaceae","(Mart. ex Miq.) Mez","species","Stylogyne longifolia","Stylogyne longifolia",3721913,"STYLLO-Stylogyne longifolia"
"Styrax","cordatus","STYRCO","Styracaceae","(Ruiz & Pav.) A. DC.","species","Styrax cordatus","Styrax pavonii",5541365,"STYRCO-Styrax cordatus"
"Styrax","guyanensis","STYRGU","Styracaceae","A. DC.","species","Styrax guyanensis","Styrax guyanensis",5541247,"STYRGU-Styrax guyanensis"
"Swartzia","arborescens","SWARAR","Fabaceae","(Aubl.) Pittier","species","Swartzia arborescens","Swartzia arborescens",5352087,"SWARAR-Swartzia arborescens"
"Swartzia","bombycina","SWARBO","Fabaceae","R.S. Cowan","species","Swartzia bombycina","Swartzia bombycina",5352098,"SWARBO-Swartzia bombycina"
"Swartzia","calophylla","SWARSI","Fabaceae","Poepp.","species","Swartzia calophylla","Swartzia calophylla",5352049,"SWARSI-Swartzia calophylla"
"Swartzia","cardiosperma","SWARCA","Fabaceae","Spruce ex Benth. in Mart.","species","Swartzia cardiosperma","Swartzia cardiosperma",5352042,"SWARCA-Swartzia cardiosperma"
"Swartzia","multijuga","SWARMU","Fabaceae","Vogel","species","Swartzia multijuga","Swartzia multijuga",5352110,"SWARMU-Swartzia multijuga"
"Swartzia","rosea","SWARBE","Fabaceae","Mart. ex Benth.","species","Swartzia rosea","Swartzia rosea",5351850,"SWARBE-Swartzia rosea"
"Symphonia","globulifera","SYMHGL","Clusiaceae","L. f.","species","Symphonia globulifera","Symphonia globulifera",8185162,"SYMHGL-Symphonia globulifera"
"Symplocos","arechea","SYMPAR","Symplocaceae","L'H r.","species","Symplocos arechea","Symplocos arechea",3643345,"SYMPAR-Symplocos arechea"
"Tabebuia","ochracea","TABEOC","Bignoniaceae","(Cham.) Standl.","species","Tabebuia ochracea","Tabebuia ochracea",7880545,"TABEOC-Tabebuia ochracea"
"Tabebuia","serratifolia","TABESE","Bignoniaceae","(Vahl) G. Nicholson","species","Tabebuia serratifolia","Tabebuia serratifolia",7353404,"TABESE-Tabebuia serratifolia"
"Tabernaemontana","sananho","TABRSA","Apocynaceae","Ruiz & Pav.","species","Tabernaemontana sananho","Tabernaemontana sananho",3614389,"TABRSA-Tabernaemontana sananho"
"Tachigali","formicarum","TACHFO","Fabaceae","Harms","species","Tachigali formicarum","Tachigali formicarum",2945126,"TACHFO-Tachigali formicarum"
"Tachigali","inconspicua","TACHPA","Fabaceae","van der Werff","species","Tachigali inconspicua","Tachigali inconspicua",8382610,"TACHPA-Tachigali inconspicua"
"Tachigali","paniculata","TACHPN","Fabaceae","Aubl.","species","Tachigali paniculata","Tachigali paniculata",2945147,"TACHPN-Tachigali paniculata"
"Talisia","cerasina","TALICE","Sapindaceae","(Benth.) Radlk.","species","Talisia cerasina","Talisia cerasina",3788434,"TALICE-Talisia cerasina"
"Tapirira","guianensis","TAPIGU","Anacardiaceae","Aubl.","species","Tapirira guianensis","Tapirira guianensis",7321555,"TAPIGU-Tapirira guianensis"
"Tapirira","myriantha","TAPISA","Anacardiaceae","Triana & Planch.","species","Tapirira myriantha","Tapirira guianensis",7321556,"TAPISA-Tapirira myriantha"
"Tapirira","obtusa","TAPIOB","Anacardiaceae","(Benth.) J.D. Mitch.","species","Tapirira obtusa","Tapirira obtusa",3659992,"TAPIOB-Tapirira obtusa"
"Tapura","juruana","TAPUJU","Dichapetalaceae","(Ule) Rizz.","species","Tapura juruana","Tapura juruana",4195950,"TAPUJU-Tapura juruana"
"Tapura","peruviana","TAPUPE","Dichapetalaceae","K. Krause","species","Tapura peruviana","Tapura peruviana",7309870,"TAPUPE-Tapura peruviana"
"Terminalia","amazonia","TERMAM","Combretaceae","(J.F. Gmel.) Exell","species","Terminalia amazonia","Terminalia amazonica",8153963,"TERMAM-Terminalia amazonia"
"Terminalia","oblonga","TERMOG","Combretaceae","(Ruiz & Pav.) Steud.","species","Terminalia oblonga","Terminalia oblonga",3189396,"TERMOG-Terminalia oblonga"
"Tessmannianthus","heterostemon","TESSHE","Melastomataceae","Markgr.","species","Tessmannianthus heterostemon","Tessmannianthus heterostemon",3866056,"TESSHE-Tessmannianthus heterostemon"
"Tetragastris","panamensis","TETGPA","Burseraceae","(Engl.) Kuntze","species","Tetragastris panamensis","Tetragastris panamensis",7286863,"TETGPA-Tetragastris panamensis"
"Tetrathylacium","macrophyllum","TETTMA","Salicaceae","Poepp. in Poepp. & Endl.","species","Tetrathylacium macrophyllum","Tetrathylacium macrophyllum",7274105,"TETTMA-Tetrathylacium macrophyllum"
"Tetrorchidium","macrophyllum","TETRMC","Euphorbiaceae","M ll. Arg.","species","Tetrorchidium macrophyllum","Tetrorchidium macrophyllum",3062937,"TETRMC-Tetrorchidium macrophyllum"
"Theobroma","speciosum","THEOSP","Malvaceae","Willd. ex Spreng.","species","Theobroma speciosum","Theobroma speciosum",7657303,"THEOSP-Theobroma speciosum"
"Theobroma","subincanum","THEOSU","Malvaceae","Mart.","species","Theobroma subincanum","Theobroma subincanum",4939555,"THEOSU-Theobroma subincanum"
"Tococa","guianensis","TOCCGU","Melastomataceae","Aubl.","species","Tococa guianensis","Miconia tococa",10816285,"TOCCGU-Tococa guianensis"
"Tocoyena","williamsii","TOCOBU","Rubiaceae","Standl.","species","Tocoyena williamsii","Tocoyena pittieri",2898256,"TOCOBU-Tocoyena williamsii"
"Toxosiphon","trifoliatus","TOXITR","Rutaceae","(Pilg.) Kallunki","species","Toxosiphon trifoliatus","Toxosiphon trifoliatus",3835052,"TOXITR-Toxosiphon trifoliatus"
"Trattinnickia","lancifolia","TRATLA","Burseraceae","(Cuatrec.) Daly","species","Trattinnickia lancifolia","Trattinnickia lancifolia",3992462,"TRATLA-Trattinnickia lancifolia"
"Trattinnickia","lawrancei","TRATAS","Burseraceae","(Standl.) Swart","species","Trattinnickia lawrancei","Trattinnickia lawrancei",7286736,"TRATAS-Trattinnickia lawrancei"
"Trema","micrantha","TREMMI","Cannabaceae","(L.) Blume","species","Trema micrantha","Trema micranthum",2984501,"TREMMI-Trema micrantha"
"Trichilia","adolfi","TRICAD","Meliaceae","Harms","species","Trichilia adolfi","Trichilia adolfi",3852221,"TRICAD-Trichilia adolfi"
"Trichilia","elsae","TRICEL","Meliaceae","Harms in Engl. & Prantl","species","Trichilia elsae","Trichilia elsae",3850939,"TRICEL-Trichilia elsae"
"Trichilia","laxipaniculata","TRICLA","Meliaceae","Cuatrec.","species","Trichilia laxipaniculata","Trichilia laxipaniculata",3849845,"TRICLA-Trichilia laxipaniculata"
"Trichilia","maynasiana","TRICMA","Meliaceae","C. DC.","species","Trichilia maynasiana","Trichilia maynasiana",3849551,"TRICMA-Trichilia maynasiana"
"Trichilia","micrantha","TRICMI","Meliaceae","Benth.","species","Trichilia micrantha","Trichilia micrantha",3852930,"TRICMI-Trichilia micrantha"
"Trichilia","obovata","TRICOB","Meliaceae","W. Palacios","species","Trichilia obovata","Trichilia obovata",3852514,"TRICOB-Trichilia obovata"
"Trichilia","pallida","TRICPA","Meliaceae","Sw.","species","Trichilia pallida","Trichilia pallida",3190491,"TRICPA-Trichilia pallida"
"Trichilia","poeppigii","TRICPO","Meliaceae","C. DC.","species","Trichilia poeppigii","Trichilia poeppigii",7271459,"TRICPO-Trichilia poeppigii"
"Trichilia","quadrijuga","TRICQU","Meliaceae","Kunth","species","Trichilia quadrijuga","Trichilia quadrijuga",7271413,"TRICQU-Trichilia quadrijuga"
"Trichilia","rubra","TRICRU","Meliaceae","C. DC.","species","Trichilia rubra","Trichilia rubra",3851449,"TRICRU-Trichilia rubra"
"Trichilia","septentrionalis","TRICSE","Meliaceae","C. DC.","species","Trichilia septentrionalis","Trichilia septentrionalis",3851153,"TRICSE-Trichilia septentrionalis"
"Trichilia","solitudinis","TRICSO","Meliaceae","Harms","species","Trichilia solitudinis","Trichilia solitudinis",3850994,"TRICSO-Trichilia solitudinis"
"Trigynaea","triplinervis","TRIGTR","Annonaceae","D.M. Johnson & N.A. Murray","species","Trigynaea triplinervis","Trigynaea triplinervis",3154853,"TRIGTR-Trigynaea triplinervis"
"Triplaris","dugandii","TRIPDU","Polygonaceae","Brandbyge","species","Triplaris dugandii","Triplaris dugandii",4038383,"TRIPDU-Triplaris dugandii"
"Trymatococcus","amazonicus","TRYMAM","Moraceae","Poepp. & Endl.","species","Trymatococcus amazonicus","Brosimum amazonicum",11724343,"TRYMAM-Trymatococcus amazonicus"
"Turpinia","occidentalis","TURPOC","Staphyleaceae","(Sw.) G. Don","species","Turpinia occidentalis","Turpinia occidentalis",5421358,"TURPOC-Turpinia occidentalis"
"Unonopsis","floribunda","UNONFL","Annonaceae","Diels","species","Unonopsis floribunda","Unonopsis floribunda",3157782,"UNONFL-Unonopsis floribunda"
"Unonopsis","veneficiorum","UNONVE","Annonaceae","(Mart.) R.E. Fr.","species","Unonopsis veneficiorum","Unonopsis veneficiorum",3157823,"UNONVE-Unonopsis veneficiorum"
"Urera","baccifera","URERBA","Urticaceae","(L.) Gaudich. ex Wedd.","species","Urera baccifera","Urera baccifera",7411905,"URERBA-Urera baccifera"
"Vantanea","guianensis","VANTGU","Humiriaceae","Aubl.","species","Vantanea guianensis","Vantanea guianensis",3649222,"VANTGU-Vantanea guianensis"
"Vataireopsis","iglesiasii","VATAIG","Fabaceae","Ducke","species","Vataireopsis iglesiasii","Vataireopsis iglesiasii",2965593,"VATAIG-Vataireopsis iglesiasii"
"Virola","dixonii","VIRODI","Myristicaceae","Little","species","Virola dixonii","Virola dixonii",3743473,"VIRODI-Virola dixonii"
"Virola","duckei","VIRODU","Myristicaceae","A.C. Sm.","species","Virola duckei","Virola duckei",3743458,"VIRODU-Virola duckei"
"Virola","elongata","VIROEL","Myristicaceae","(Benth.) Warb.","species","Virola elongata","Virola elongata",7171876,"VIROEL-Virola elongata"
"Virola","flexuosa","VIROFL","Myristicaceae","A.C. Sm.","species","Virola flexuosa","Virola flexuosa",3743391,"VIROFL-Virola flexuosa"
"Virola","mollissima","VIROMO","Myristicaceae","(Poepp. ex A. DC.) Warb.","species","Virola mollissima","Virola mollissima",3743067,"VIROMO-Virola mollissima"
"Virola","multinervia","VIROMU","Myristicaceae","Ducke","species","Virola multinervia","Virola multinervia",3743027,"VIROMU-Virola multinervia"
"Virola","obovata","VIROOB","Myristicaceae","Ducke","species","Virola obovata","Virola obovata",3742984,"VIROOB-Virola obovata"
"Virola","pavonis","VIROPA","Myristicaceae","( A.DC. ) A.C.Sm.","species","Virola pavonis","Virola pavonis",3744236,"VIROPA-Virola pavonis"
"Vismia","baccifera","VISMBA","Hypericaceae","(L.) Tr. & Pl.","species","Vismia baccifera","Vismia baccifera",8113584,"VISMBA-Vismia baccifera"
"Vismia","floribunda","VISMFL","Hypericaceae","Sprague","species","Vismia floribunda","Vismia floribunda",3714212,"VISMFL-Vismia floribunda"
"Vismia","macrophylla","VISMMA","Hypericaceae","Kunth","species","Vismia macrophylla","Vismia macrophylla",7798391,"VISMMA-Vismia macrophylla"
"Vismia","sprucei","VISMSP","Hypericaceae","Sprague","species","Vismia sprucei","Vismia sprucei",3713497,"VISMSP-Vismia sprucei"
"Vitex","schunkei","VITESC","Lamiaceae","Moldenke","species","Vitex schunkei","Vitex schunkei",3903015,"VITESC-Vitex schunkei"
"Vitex","triflora","VITETR","Lamiaceae","Vahl","species","Vitex triflora","Vitex triflora",7309189,"VITETR-Vitex triflora"
