"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","Forma_2015","FormaPBDY_2018"
"Simaroubaceae",2395,"Simaroubaceae","",""
"Simira",2894913,"Simira","",""
"Siolmatra",7317597,"Siolmatra","",""
"Siparuna",7264484,"Siparuna","",""
"Siparunaceae",4893899,"Siparunaceae","",""
"Sloanea",3152097,"Sloanea","",""
"Smilacaceae",7702,"Smilacaceae","",""
"Smilax",2740627,"Smilax","",""
"Sobralia",2797375,"Sobralia","",""
"Socratea",2732448,"Socratea","",""
"Solanaceae",7717,"Solanaceae","",""
"Solanum",2928997,"Solanum","",""
"Sorocea",7262353,"Sorocea","",""
"Souroubea",7275871,"Souroubea","",""
"Spondias",3190592,"Spondias","",""
"Staphyleaceae",6656,"Staphyleaceae","",""
"Stemonuraceae",4087082,"Stemonuraceae","",""
"Sterculia",3152129,"Sterculia","",""
"Sterculiaceae",2434,"Sterculiaceae","",""
"Stigmaphyllon",3191310,"Stigmaphyllon","",""
"Stromanthe",2761248,"Stromanthe","",""
"Strychnos",3169589,"Strychnos","",""
"Stryphnodendron",2951701,"Stryphnodendron","",""
"Stryphnodendron porcatum",2951713,"Stryphnodendron porcatum","",""
"Stylogyne",3169452,"Stylogyne","",""
"Styracaceae",2507,"Styracaceae","",""
"Styrax",3032925,"Styrax","",""
"Swartzia",2950920,"Swartzia","",""
"Symphonia",8233185,"Symphonia","",""
"Syngonium",2867833,"Syngonium","",""
"TAB2SA-TABRSA-Tabernaemontana sananho",3614389,"Tabernaemontana sananho","TU","U"
"TACHFO-Tachigali formicarum",2945126,"Tachigali formicarum","TM","M"
"TACHPA-Tachigali paraensis",8382610,"Tachigali inconspicua","TC","T"
"TALICE-Talisia cerasina",3788434,"Talisia cerasina","M","M"
"TALINO-MELCNG-Talisia 'novogranatensis'",3788341,"Melicoccus novogranatensis","TM","M"
"TAPIGU-Tapirira guianensis",7321555,"Tapirira guianensis","TC","T"
"TAPUJU-Tapura juruana",4195950,"Tapura juruana","TC","T"
"TAPUPE-Tapura peruviana",7309870,"Tapura peruviana","TU","U"
"TELIKR-Telitoxicum krukovii",3829749,"Telitoxicum krukovii","CW",""
"TERMOB-Terminalia 'ob'",3189387,"","TC","T"
"TERM_A-Terminalia sp. A",8153963,"Terminalia amazonica","TC",""
"TERM_B-Terminalia sp. B",3189387,"Terminalia","TC",""
"TESSHE-Tessmannianthus heterostemon",3866056,"Tessmannianthus heterostemon","TE","E"
"TET1WI-Tetracera willdenowiana",7303983,"Tetracera willdenowiana","CW",""
"TET2PA-TETGPA-Tetragastris panamensis",7286863,"Tetragastris panamensis","TC","T"
"TET3_A-Tetrapterys sp. A",3191303,"Tetrapterys","CW",""
"TET3_B-Tetrapterys sp. B",3191303,"Tetrapterys","CW",""
"TET3_D-Tetrapterys sp. D",3191303,"Tetrapterys","CW",""
"TET3_I-Tetrapterys sp. I",3191303,"Tetrapterys","CW",""
"TET4MA-TETTMA-Tetrathylacium macrophyllum",7274105,"Tetrathylacium macrophyllum","TU","U V"
"TET5MA-TETRMC-Tetrorchidium macrophyllum",3062937,"Tetrorchidium macrophyllum","TU","U"
"THEOSP-Theobroma speciosum",7657303,"Theobroma speciosum","TM","M"
"THEOSU-Theobroma subincanum",4939555,"Theobroma subincanum","TM","M"
"THIN_F-Thinouia sp. F",3787794,"Thinouia myriantha","CW",""
"THIN_H-Thinouia sp. H",3787785,"Thinouia obliqua","CW",""
"THIN_J-Thinouia sp. J",7264997,"Thinouia","CW",""
"TOCOBU-Tocoyena 'burnham'",2898256,"Tocoyena pittieri","TC","T"
"TOCOCA-Tococa caquetana",10880797,"Miconia caquetana","SS",""
"TONTRE-Tontelea 'redondagrande'",5579681,"Salacia ulei","CW",""
"TOURTA-Tournefortida 'tace'",2925828,"Tournefortia","CW",""
"TOURUL-Tournefortia ulei",10851762,"Heliotropium ulei","CW",""
"TOUR_B-Tournefortia sp. B",2925828,"Tournefortia","CW",""
"TOVOAR-TOVOAL-Tovomita 'arbol'",7329865,"Tovomita","TM","M"
"TRATAS-Trattinnickia aspera",3992670,"Trattinnickia boliviana","TC","T"
"TRI2AD-TRICAD-Trichilia adolfii",3852221,"Trichilia adolfi","TC","T"
"TRI2CI-TRICCI-Trichilia 'cip'",3190490,"Trichilia","SL","S"
"TRI2DE-TRICDE-Trichilia 'densapunta'",3190490,"Trichilia","TM","M"
"TRI2EL-TRICEL-Trichilia elsae",3850939,"Trichilia elsae","SU","S"
"TRI2LA-TRICLA-Trichilia laxipaniculata",3849845,"Trichilia laxipaniculata","TM","M"
"TRI2M1-TRICMA-Trichilia maynasiana",3849551,"Trichilia maynasiana","TC","T"
"TRI2M2-TRICMI-Trichilia micrantha",3852930,"Trichilia micrantha","TM","M"
"TRI2M3-TRICMN-Trichilia 'miniraquis'",3190490,"Trichilia","TM","M"
"TRI2OB-TRICOB-Trichilia obovata",3852514,"Trichilia obovata","SL","S"
"TRI2PA-TRICPA-Trichilia pallida",3190491,"Trichilia pallida","TU","U"
"TRI2PO-TRICPO-Trichilia poeppigii",7271459,"Trichilia poeppigii","SL","U"
"TRI2QU-TRICQU-Trichilia quadrijuga",7271413,"Trichilia quadrijuga","TC","T"
"TRI2SE-TRICSE-Trichilia septentrionalis",3851153,"Trichilia septentrionalis","TC","T"
"TRI2SO-TRICSO-Trichilia solitudinis",3850994,"Trichilia solitudinis","TC","T"
"TRI3TR-TRIGTR-Trigynaea triplinervis",3154853,"Trigynaea triplinervis","TU","U"
"TRI4AM-TRIPDU-Triplaris americana",4038383,"Triplaris dugandii","TM","M"
"TRI5OC-Trichostigma octandrum",5383980,"Trichostigma octandrum","CH",""
"TRYMAM-Trymatococcus amazonicum",11724343,"Brosimum amazonicum","TM","M"
"TURPOC-Turpinia occidentalis",5421358,"Turpinia occidentalis","TC","T"
"Tabebuia",7935410,"Tabebuia","",""
"Tabebuia ochracea",7880545,"Tabebuia ochracea","",""
"Tabebuia serratifolia",7353404,"Tabebuia serratifolia","",""
"Tabernaemontana",3169624,"Tabernaemontana","",""
"Tachigali",2945125,"Tachigali","",""
"Talisia",3189946,"Talisia","",""
"Tanaecium",7298714,"Tanaecium","",""
"Tapirira",7321529,"Tapirira","",""
"Tapisciaceae",3643030,"Tapisciaceae","",""
"Tapura",7309868,"Tapura","",""
"Tassadia",7311668,"Tassadia","",""
"Telitoxicum",7268678,"Telitoxicum","",""
"Terminalia",3189387,"Terminalia","",""
"Tessmannianthus",3866049,"Tessmannianthus","",""
"Tetracera",3234607,"Tetracera","",""
"Tetracera volubilis",8420425,"Tetracera volubilis","",""
"Tetragastris",3190462,"Tetragastris","",""
"Tetrapterys",3191303,"Tetrapterys","",""
"Tetrathylacium",7274104,"Tetrathylacium","",""
"Tetrorchidium",3062897,"Tetrorchidium","",""
"Theobroma",2984934,"Theobroma","",""
"Theophrastaceae",6674,"Primulaceae","",""
"Thinouia",7264997,"Thinouia","",""
"Tiliaceae",2433,"Tiliaceae","",""
"Tococa",3188558,"Miconia","",""
"Tocoyena",2898227,"Tocoyena","",""
"Tontelea",7550998,"Tontelea","",""
"Tournefortia",2925828,"Tournefortia","",""
"Tournefortida",2925828,"Tournefortia","",""
"Tovomita",7329865,"Tovomita","",""
"Trattinnickia",7286734,"Trattinnickia","",""
"Trichilia",3190490,"Trichilia","",""
"Trichodrymonia",6365186,"Trichodrymonia","",""
"Trichostigma",3083999,"Trichostigma","",""
"Trigynaea",3154838,"Trigynaea","",""
"Triplaris",6390747,"Triplaris","",""
"Trymatococcus",2984656,"Brosimum","",""
"Turpinia",3190468,"Turpinia","",""
"Tynanthus",3172598,"Tynanthus","",""
"U1212-Lauraceae sp. (1212)",5685367,"Nectandra coeloclada","T?",""
"U3889-(no identificado SSP3889)",3169095,"Maytenus","T?",""
"U4709-(unknown SSP4709)",3189948,"Paullinia","-",""
"U5676-Hydrangea sp. U5676",3645317,"Hydrangea tarapotensis","HL",""
"U5976-(unknown SSP5976)",2959589,"Machaerium","-",""
"U6598-(unknown SSP 6598)",5386,"Fabaceae","",""
"UNCA_A-Uncaria sp. A",5338267,"Uncaria tomentosa","CW",""
"UNONFL-Unonopsis floribunda",3157782,"Unonopsis floribunda","TM","M"
"UNONVE-Unonopsis 'venefalso'",3157823,"Unonopsis veneficiorum","TU","U"
"UNON_C-Unonopsis sp. C",3157765,"Unonopsis","T?",""
"Ulmaceae",2382,"Ulmaceae","",""
"Uncaria",2906635,"Uncaria","",""
"Unonopsis",3157765,"Unonopsis","",""
"Urticaceae",6639,"Urticaceae","",""
"VANTGU-Vantanea guianensis",3649222,"Vantanea guianensis","TC","T"
"VATAIG-Vataireopsis iglesiasii",2965593,"Vataireopsis iglesiasii","TC","T"
"VER_A-AEGIEL-Verbenaceae sp. A",3892888,"Aegiphila elegans","SL","S"
"VER_C-Verbenaceae sp. C",3893132,"Aegiphila cordifolia","CW",""
"VER_PA-Verbenaceae sp. PA",6689,"Verbenaceae","",""
"VIRODI-Virola dixonii",3743473,"Virola dixonii","TC","U"
"VIRODU-Virola duckei",3743458,"Virola duckei","TE","E"
"VIROEL-Virola elongata",7171876,"Virola elongata","TC","T"
"VIROFL-Virola flexuosa",3743391,"Virola flexuosa","TC","T"
"VIROMI-Virola 'microfuzzy'",3152843,"Virola","TC","T"
"VIROOB-Virola obovata",3742984,"Virola obovata","TC","T"
"VIROPA-Virola 'pavo'",3744236,"Virola pavonis","TC","T"
"VIROSU-Virola surinamensis",3152848,"Virola surinamensis","T?",""
"VISMBA-Vismia baccifera",8113584,"Vismia baccifera","TM","M"
"VISMFL-Vismia floribunda",3714212,"Vismia floribunda","TM'","M"
"VISMMA-Vismia macrophylla",7798391,"Vismia macrophylla","TM","M"
"VITEGL-VITESC-Vitex 'glabra'",3903015,"Vitex schunkei","TC","T"
"VITETR-Vitex triflora",7309189,"Vitex triflora","TM","M"
"VOCHBR-Vochysia braceliniae",4030673,"Vochysia braceliniae","TC","T"
"VRB_PA-Verbenaceae sp. PA (plantula)",6689,"Verbenaceae","CW",""
"Vantanea",7158977,"Vantanea","",""
"Vasconcellea",7106306,"Vasconcellea","",""
"Vataireopsis",2965587,"Vataireopsis","",""
"Verbenaceae",6689,"Verbenaceae","",""
"Violaceae",6631,"Violaceae","",""
"Virola",3152843,"Virola","",""
"Viscaceae",2399,"Viscaceae","",""
"Vismia",3189574,"Vismia","",""
"Vitaceae",6672,"Vitaceae","",""
"Vitex",2925556,"Vitex","",""
"Vochysia",8225540,"Vochysia","",""
"Vochysiaceae",3231623,"Vochysiaceae","",""
"WARSCO-Warszewiczia cordata",5340130,"Warszewiczia cordata","TC","T"
"WETTMA-Wettinia maynensis",2737000,"Wettinia maynensis","TM","M"
"WITTST-Wittmackanthus stanleyanus",2903398,"Wittmackanthus stanleyanus","TC","T"
"Warszewiczia",2917365,"Warszewiczia","",""
"Wettinia",2736938,"Wettinia","",""
"Wittmackanthus",2903397,"Wittmackanthus","",""
"XYL1CU-XYLOCU-Xylopia cuspidata",3157048,"Xylopia cuspidata","TU","S"
"XYL1LI-XYLOLI-Xylopia 'ligu'",3157040,"Xylopia sericea","TC","T"
"Xylopia",3157015,"Xylopia","",""
"ZANTBR-Zanthoxylum 'brillante'",3190076,"Zanthoxylum","TM","M"
"ZANTMA-Zanthoxylum 'margland'",3190076,"Zanthoxylum","TU","U"
"ZANT_B-Zanthoxylum sp. B",3190076,"Zanthoxylum","T?",""
"ZANT_C-Zanthoxylum sp. C",3190076,"Zanthoxylum","T?",""
"ZANT_D-Zanthoxylum sp. D",3190076,"Zanthoxylum","T?",""
"ZANT_E-Zanthoxylum sp. E",3190076,"Zanthoxylum","T?",""
"ZIZYCI-ZIZICI-Zizyphus cinnamomum",8994554,"Sarcomphalus cinnamomum","TC","T"
"ZYGIHE-Zygia heteroneura",5347420,"Zygia heteroneura","TU","U"
"ZYGIME-Zygia 'mediana'",2939650,"Zygia","TU","U"
"ZZHIAT-uniden 'atenumembra'",2514,"Hippocrateaceae","CU","U&V"
"ZZHIOV-ZZHIOL-uniden 'ovalo'",3169160,"Salacia","TC","T"
"ZZLAC5-PLEUCO-uniden 'cordata'",10738820,"Pleurothyrium","TC","T"
"ZZLAG5-ZZLAGV-uniden. 'granverde'",6688,"Lauraceae","SL","M"
"ZZLAL2-OCOTLA-uniden 'laurita'",3034076,"Ocotea","TC","T"
"ZZLAL4-ZZLALS-uniden. 'lisagroovy'",6688,"Lauraceae","TC","T"
"ZZLAM1-ZZLAME-uniden 'medpubinervi'",6688,"Lauraceae","TU","T"
"ZZLAM2-OCOTME-uniden 'membraobov'",3034076,"Ocotea","TC","T"
"ZZMYS6-ZZMYSP-uniden 'smedpubicost'",5014,"Myrtaceae","SL","M"
"ZZMYVE-MYRCVE-uniden 'vertipub'",6306297,"Myrcia verticillata","SL","S"
"Zanthoxylum",3190076,"Zanthoxylum","",""
"Ziziphus",3039411,"Ziziphus","",""
"Zizyphus",11784496,"Zizyphus","",""
"Zygia",2939650,"Zygia","",""
