"gbif_accepted_taxon_id","gbif_accepted_scientific_name"
7299919,"Cestrum racemosum"
7299914,"Cestrum reflexum"
7299866,"Cestrum strigillatum"
7326509,"Chaunochiton"
3686060,"Chaunochiton kappleri"
2731952,"Chelyocarpus"
2731953,"Chelyocarpus ulei"
2918977,"Chimarrhis glabriflora"
2918965,"Chimarrhis hookeri"
2907380,"Chiococca"
2907406,"Chiococca alba"
7906922,"Chionanthus"
3682197,"Chionanthus implicatus"
7304319,"Chlorocardium"
4178433,"Chlorocardium venenosum"
5337281,"Chomelia malaneoides"
5337333,"Chomelia polyantha"
5555777,"Chrysochlamys bracteolata"
5555731,"Chrysochlamys macrophylla"
5555729,"Chrysochlamys membranacea"
5555691,"Chrysochlamys weberbaueri"
2885904,"Chrysophyllum bombycinum"
2885688,"Chrysophyllum lucentifolium"
2885722,"Chrysophyllum pomiferum"
2885779,"Chrysophyllum sanguinolentum"
2898323,"Ciliosemina"
2898328,"Ciliosemina pedunculata"
2901235,"Cinchona"
2901294,"Cinchona pubescens"
2891953,"Cinchonopsis"
2891954,"Cinchonopsis amazonica"
3033980,"Cinnamomum"
7853269,"Citharexylum"
4083818,"Citharexylum macrochlamys"
7297664,"Citharexylum poeppigii"
4086429,"Citharexylum reticulatum"
4085930,"Citharexylum subflavescens"
4085818,"Citharexylum svensonii"
7314391,"Citronella"
3597099,"Citronella incarum"
3597033,"Citronella melliodora"
7313219,"Clavija ornata"
2925347,"Clerodendrum"
2946503,"Clitoria arborea"
7329960,"Clusia amazonica"
5555505,"Clusia decussata"
5556419,"Clusia hammeliana"
5556331,"Clusia lineata"
7330299,"Clusia loranthacea"
5556314,"Clusia loretensis"
5556290,"Clusia mamillata"
5556243,"Clusia mocoensis"
7527517,"Clusia nigrolineata"
5556187,"Clusia octandra"
5556151,"Clusia pallida"
5556124,"Clusia penduliflora"
5556045,"Clusia radicans"
5555837,"Clusia viscida"
7291417,"Coccoloba acuminata"
4033276,"Coccoloba coronata"
4032678,"Coccoloba fallax"
4038161,"Coccoloba latifolia"
4038099,"Coccoloba lehmannii"
4037525,"Coccoloba mollis"
4037016,"Coccoloba obovata"
4036490,"Coccoloba peruviana"
3702383,"Cochlospermaceae"
2874864,"Cochlospermum"
4927630,"Cochlospermum orinocense"
3039524,"Colubrina"
7977416,"Colubrina amazonica"
5372463,"Colubrina arborescens"
5372466,"Colubrina glandulosa"
7273863,"Colubrina spinosa"
5564505,"Compsoneura lapidiflora"
5564457,"Compsoneura sprucei"
8267213,"Compsoneura ulei"
3074956,"Conceveiba guianensis"
3074934,"Conceveiba martiana"
3074941,"Conceveiba terminalis"
2908490,"Condaminea"
2908496,"Condaminea corymbosa"
3686370,"Connarus erianthus"
7326642,"Connarus fasciculatus"
3686917,"Connarus patrisii"
7326561,"Connarus ruber"
3032212,"Corchorus"
3152087,"Corchorus orinocensis"
5662350,"Cordia eriostigma"
5661797,"Cordia kingstoniana"
5661672,"Cordia lomatoloba"
5661522,"Cordia mexiana"
5660706,"Cordia sericicalyx"
5660556,"Cordia tetrandra"
5660496,"Cordia trachyphylla"
5660461,"Cordia ucayaliensis"
2903362,"Cordiera"
5335622,"Cordiera macrophylla"
2925661,"Cornutia"
3881426,"Cornutia odorata"
2925663,"Cornutia pyramidata"
7968116,"Couepia chrysocalyx"
2984823,"Couepia guianensis"
7581304,"Couepia macrophylla"
8062405,"Couepia subcordata"
7316606,"Couma"
3614987,"Couma guianensis"
3614969,"Couma macrocarpa"
3083145,"Couratari oligantha"
3082553,"Couroupita"
3082562,"Couroupita guianensis"
4013140,"Coussapoa crassivenosa"
4013473,"Coussapoa jatun-sachensis"
4013395,"Coussapoa longepedunculata"
4013216,"Coussapoa ovalifolia"
4013182,"Coussapoa parvifolia"
4013550,"Coussapoa trinervia"
7316428,"Coussapoa villosa"
2904864,"Coussarea albescens"
2904822,"Coussarea brevicaulis"
2904829,"Coussarea ecuadorensis"
2904927,"Coussarea flava"
2904863,"Coussarea klugii"
2904768,"Coussarea latifolia"
2904887,"Coussarea longiflora"
2904777,"Coussarea macrocalyx"
2904928,"Coussarea macrophylla"
2904772,"Coussarea obliqua"
2898203,"Coussarea paniculata"
2904786,"Coussarea pilosiflora"
2904760,"Coussarea pilosula"
2904824,"Coussarea resinosa"
2904773,"Coussarea spiciformis"
2904905,"Coussarea tenuiflora"
2893702,"Coutarea"
2893703,"Coutarea hexandra"
3154035,"Cremastosperma bullatum"
3154062,"Cremastosperma longicuspe"
3154054,"Cremastosperma monospermum"
3154052,"Cremastosperma napoense"
3057454,"Croton"
3057939,"Croton cuneatus"
3057776,"Croton lechleri"
3058007,"Croton matourensis"
3058081,"Croton olivaceus"
3058287,"Croton sampatik"
3058161,"Croton tessmannii"
2974579,"Crudia"
2974609,"Crudia glaberrima"
4178482,"Cryptocarya aschersoniana"
7299697,"Cuatresia"
7299700,"Cuatresia riparia"
3800134,"Cuatresia trianae"
7523047,"Cupania macrostylis"
7802452,"Cupania scrobiculata"
2650273,"Cyathea"
2650304,"Cyathea andina"
3600149,"Cyathea bradei"
3598409,"Cyathea lasiosora"
3598153,"Cyathea leucolepismata"
3599637,"Cyathea multiflora"
3598321,"Cyathea pilosissima"
3598161,"Cyathea poeppigii"
2650287,"Cyathea pungens"
6624,"Cyatheaceae"
3718748,"Cybianthus cenepensis"
9924760,"Cybianthus condorensis"
7331157,"Cybianthus guyanensis"
3722687,"Cybianthus kayapii"
3722244,"Cybianthus occigranatensis"
3722165,"Cybianthus peruvianus"
3722131,"Cybianthus poeppigii"
3721950,"Cybianthus schlimii"
3721908,"Cybianthus simplex"
3721830,"Cybianthus sprucei"
3721726,"Cybianthus timanae"
3157869,"Cymbopetalum aequale"
2705264,"Cymbopogon"
2705275,"Cymbopogon citratus"
7708,"Cyperaceae"
2713455,"Cyperus"
2715295,"Cyperus surinamensis"
3992606,"Dacryodes acutipyrena"
3992541,"Dacryodes belemensis"
3992494,"Dacryodes chimantensis"
3992416,"Dacryodes cupularis"
3993867,"Dacryodes olivifera"
10811333,"Dacryodes ramosa"
3993686,"Dacryodes sclerophylla"
