Label,X_shifted,Y_shifted,Z_shifted
DJI_20241121091924_0001_V.JPG,-79.8555123181172,9.15120865129618,224.156
DJI_20241121091928_0002_V.JPG,-79.8554153181232,9.15120465130489,226.05
DJI_20241121091929_0003_V.JPG,-79.8553253181289,9.15120165131298,228.146
DJI_20241121091930_0004_V.JPG,-79.8552363181346,9.15119865132098,230.505
DJI_20241121091931_0005_V.JPG,-79.8551513181399,9.15119565132862,233.727
DJI_20241121091932_0006_V.JPG,-79.8550603181457,9.15119265133679,235.573
DJI_20241121091933_0007_V.JPG,-79.8549733181512,9.15118965134461,236.937
DJI_20241121091934_0008_V.JPG,-79.8548853181568,9.15118665135252,239.277
DJI_20241121091935_0009_V.JPG,-79.8548013181621,9.15118365136007,240.686
DJI_20241121091936_0010_V.JPG,-79.8547153181675,9.1511806513678,242.211
DJI_20241121091937_0011_V.JPG,-79.8546233181734,9.15117765137606,241.002
DJI_20241121091938_0012_V.JPG,-79.8545363181789,9.15117465138388,240.39
DJI_20241121091939_0013_V.JPG,-79.8544503181843,9.15117165139161,239.03
DJI_20241121091940_0014_V.JPG,-79.8543623181899,9.15116865139953,239.911
DJI_20241121091941_0015_V.JPG,-79.8542753181954,9.15116565140734,240.809
DJI_20241121091942_0016_V.JPG,-79.8541903182007,9.15116265141498,241.65
DJI_20241121091943_0017_V.JPG,-79.8541003182064,9.15115965142307,242.792
DJI_20241121091944_0018_V.JPG,-79.8540153182118,9.15115665143071,243.177
DJI_20241121091945_0019_V.JPG,-79.8539273182174,9.15115365143862,243.063
DJI_20241121091946_0020_V.JPG,-79.8538433182226,9.15114965144616,242.111
DJI_20241121091947_0021_V.JPG,-79.8537563182281,9.15114665145398,242.565
DJI_20241121091948_0022_V.JPG,-79.8536673182338,9.15114465146198,243.104
DJI_20241121091949_0023_V.JPG,-79.8535813182392,9.15114165146972,243.701
DJI_20241121091950_0024_V.JPG,-79.8534923182449,9.15113865147771,244.245
DJI_20241121091951_0025_V.JPG,-79.8534063182503,9.15113565148545,244.662
DJI_20241121091952_0026_V.JPG,-79.8533213182557,9.15113265149308,244.603
DJI_20241121091953_0027_V.JPG,-79.8532343182612,9.1511296515009,244.646
DJI_20241121091954_0028_V.JPG,-79.8531483182666,9.15112665150863,243.94
DJI_20241121091955_0029_V.JPG,-79.8530633182719,9.15112365151627,242.432
DJI_20241121091956_0030_V.JPG,-79.8529713182778,9.15112065152454,243.28
