#Label,X/Longitude,Y/Latitude,Z/Altitude
DJI_20241121091924_0001_V.JPG,-79.855483,9.151236,235.021
DJI_20241121091928_0002_V.JPG,-79.855386,9.151232,236.915
DJI_20241121091929_0003_V.JPG,-79.855296,9.151229,239.011
DJI_20241121091930_0004_V.JPG,-79.855207,9.151226,241.37
DJI_20241121091931_0005_V.JPG,-79.855122,9.151223,244.592
DJI_20241121091932_0006_V.JPG,-79.855031,9.15122,246.438
DJI_20241121091933_0007_V.JPG,-79.854944,9.151217,247.802
DJI_20241121091934_0008_V.JPG,-79.854856,9.151214,250.142
DJI_20241121091935_0009_V.JPG,-79.854772,9.151211,251.551
DJI_20241121091936_0010_V.JPG,-79.854686,9.151208,253.076
DJI_20241121091937_0011_V.JPG,-79.854594,9.151205,251.867
DJI_20241121091938_0012_V.JPG,-79.854507,9.151202,251.255
DJI_20241121091939_0013_V.JPG,-79.854421,9.151199,249.895
DJI_20241121091940_0014_V.JPG,-79.854333,9.151196,250.776
DJI_20241121091941_0015_V.JPG,-79.854246,9.151193,251.674
DJI_20241121091942_0016_V.JPG,-79.854161,9.15119,252.515
DJI_20241121091943_0017_V.JPG,-79.854071,9.151187,253.657
DJI_20241121091944_0018_V.JPG,-79.853986,9.151184,254.042
DJI_20241121091945_0019_V.JPG,-79.853898,9.151181,253.928
DJI_20241121091946_0020_V.JPG,-79.853814,9.151177,252.976
DJI_20241121091947_0021_V.JPG,-79.853727,9.151174,253.43
DJI_20241121091948_0022_V.JPG,-79.853638,9.151172,253.969
DJI_20241121091949_0023_V.JPG,-79.853552,9.151169,254.566
DJI_20241121091950_0024_V.JPG,-79.853463,9.151166,255.11
DJI_20241121091951_0025_V.JPG,-79.853377,9.151163,255.527
DJI_20241121091952_0026_V.JPG,-79.853292,9.15116,255.468
DJI_20241121091953_0027_V.JPG,-79.853205,9.151157,255.511
DJI_20241121091954_0028_V.JPG,-79.853119,9.151154,254.805
DJI_20241121091955_0029_V.JPG,-79.853034,9.151151,253.297
DJI_20241121091956_0030_V.JPG,-79.852942,9.151148,254.145
DJI_20241121091957_0031_V.JPG,-79.852856,9.151145,254.389
DJI_20241121091958_0032_V.JPG,-79.85277,9.151142,254.52
DJI_20241121091959_0033_V.JPG,-79.852682,9.151139,254.484
DJI_20241121092000_0034_V.JPG,-79.852596,9.151136,253.858
DJI_20241121092001_0035_V.JPG,-79.852508,9.151133,252.066
DJI_20241121092002_0036_V.JPG,-79.852423,9.15113,250.622
DJI_20241121092003_0037_V.JPG,-79.852336,9.151127,248.667
DJI_20241121092004_0038_V.JPG,-79.852249,9.151124,246.58
DJI_20241121092005_0039_V.JPG,-79.852164,9.151121,245.549
DJI_20241121092006_0040_V.JPG,-79.852076,9.151118,244.088
DJI_20241121092007_0041_V.JPG,-79.851986,9.151115,245.002
DJI_20241121092008_0042_V.JPG,-79.851902,9.151112,245.77
DJI_20241121092009_0043_V.JPG,-79.851813,9.151109,246.47
DJI_20241121092010_0044_V.JPG,-79.851727,9.151106,247.28
DJI_20241121092011_0045_V.JPG,-79.851639,9.151103,247.777
DJI_20241121092012_0046_V.JPG,-79.851554,9.1511,248.409
DJI_20241121092013_0047_V.JPG,-79.851467,9.151097,249.421
DJI_20241121092014_0048_V.JPG,-79.851378,9.151094,250.175
DJI_20241121092015_0049_V.JPG,-79.851293,9.151091,250.547
DJI_20241121092016_0050_V.JPG,-79.851206,9.151088,250.516
DJI_20241121092017_0051_V.JPG,-79.851117,9.151085,250.779
DJI_20241121092018_0052_V.JPG,-79.851031,9.151082,251.066
DJI_20241121092019_0053_V.JPG,-79.850946,9.151079,251.086
DJI_20241121092020_0054_V.JPG,-79.850858,9.151076,251.241
DJI_20241121092021_0055_V.JPG,-79.850772,9.151073,249.54
DJI_20241121092022_0056_V.JPG,-79.850686,9.15107,249.514
DJI_20241121092023_0057_V.JPG,-79.850596,9.151067,251.573
DJI_20241121092024_0058_V.JPG,-79.850512,9.151064,253.5
DJI_20241121092025_0059_V.JPG,-79.850413,9.15106,255.593
DJI_20241121092026_0060_V.JPG,-79.850338,9.151058,257.047
DJI_20241121092027_0061_V.JPG,-79.850254,9.151055,259.512
DJI_20241121092028_0062_V.JPG,-79.850167,9.151052,259.458
DJI_20241121092029_0063_V.JPG,-79.850076,9.151049,259.406
DJI_20241121092030_0064_V.JPG,-79.849987,9.151046,259.273
DJI_20241121092031_0065_V.JPG,-79.849902,9.151043,258.256
DJI_20241121092032_0066_V.JPG,-79.849815,9.15104,257.878
DJI_20241121092033_0067_V.JPG,-79.849728,9.151037,255.989
DJI_20241121092034_0068_V.JPG,-79.849641,9.151034,254.51
DJI_20241121092035_0069_V.JPG,-79.849554,9.151031,254.984
DJI_20241121092036_0070_V.JPG,-79.849467,9.151028,255.153
DJI_20241121092037_0071_V.JPG,-79.849376,9.151025,255.164
DJI_20241121092038_0072_V.JPG,-79.849294,9.151022,255.373
DJI_20241121092039_0073_V.JPG,-79.849204,9.151019,255.971
DJI_20241121092040_0074_V.JPG,-79.849118,9.151016,256.21
DJI_20241121092041_0075_V.JPG,-79.849031,9.151013,255.465
DJI_20241121092042_0076_V.JPG,-79.848943,9.15101,254.752
DJI_20241121092043_0077_V.JPG,-79.848857,9.151007,253.713
DJI_20241121092044_0078_V.JPG,-79.848769,9.151004,252.682
DJI_20241121092045_0079_V.JPG,-79.848682,9.151001,251.554
DJI_20241121092046_0080_V.JPG,-79.848596,9.150998,250.466
DJI_20241121092047_0081_V.JPG,-79.848508,9.150995,248.882
DJI_20241121092048_0082_V.JPG,-79.848422,9.150992,247.117
DJI_20241121092049_0083_V.JPG,-79.848336,9.150989,246.168
DJI_20241121092050_0084_V.JPG,-79.848253,9.150985,243.74
DJI_20241121092051_0085_V.JPG,-79.848162,9.150983,242.907
DJI_20241121092052_0086_V.JPG,-79.848077,9.15098,241.767
DJI_20241121092053_0087_V.JPG,-79.847989,9.150977,240.759
DJI_20241121092054_0088_V.JPG,-79.8479,9.150974,239.967
DJI_20241121092055_0089_V.JPG,-79.847815,9.150971,240.144
DJI_20241121092056_0090_V.JPG,-79.847728,9.150968,240.304
DJI_20241121092057_0091_V.JPG,-79.847638,9.150965,240.862
DJI_20241121092058_0092_V.JPG,-79.847554,9.150962,241.601
DJI_20241121092059_0093_V.JPG,-79.847467,9.150959,242.052
DJI_20241121092100_0094_V.JPG,-79.84738,9.150956,243.041
DJI_20241121092101_0095_V.JPG,-79.847294,9.150953,243.356
DJI_20241121092102_0096_V.JPG,-79.847206,9.15095,244.528
DJI_20241121092103_0097_V.JPG,-79.847119,9.150947,244.666
DJI_20241121092104_0098_V.JPG,-79.847029,9.150944,244.396
DJI_20241121092105_0099_V.JPG,-79.846946,9.150941,243.392
DJI_20241121092106_0100_V.JPG,-79.846858,9.150938,242.503
DJI_20241121092107_0101_V.JPG,-79.84677,9.150935,239.736
